source,target,value,step_from,step_to,gse_ids
Plasmodium chabaudi (blood-stage),Infection,1,1,2,GSE111110
Pneumococcal,No information,1,1,2,GSE173361
RSV,Subunit,2,1,2,GSE143617;GSE272499
Rabies virus,Attenuated,1,1,2,GSE122637
SARS-CoV-2,Attenuated,1,1,2,GSE179131
SARS-CoV-2,DNA,2,1,2,GSE217200;GSE217200
SARS-CoV-2,Subunit,1,1,2,GSE261311
SARS-CoV-2,Viral vector,12,1,2,GSE282488;GSE282488;GSE173567;GSE223476;GSE223476;GSE223476;GSE223476;GSE227647;GSE223476;GSE223476;GSE223476;GSE223476
SARS-CoV-2,mRNA,8,1,2,GSE167521;GSE292262;GSE282488;GSE260817;GSE155536;GSE150847;GSE201266;GSE201266
Schistosome,Attenuated,5,1,2,GSE222444;GSE164094;GSE164094;GSE164094;GSE164094
Sindbis virus,Subunit,1,1,2,GSE176203
Smallpox,Attenuated,1,1,2,GSE225180
Staphylococcus aureus,Subunit,12,1,2,GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543
Tetanus,Toxoid,1,1,2,GSE268421
Tuberculosis,Attenuated,10,1,2,GSE244126;GSE261448;GSE212202;GSE212203;GSE213340;GSE213342;GSE212204;GSE261448;GSE139948;GSE139948
Tuberculosis,Attenuated//Inactivated,3,1,2,GSE135592;GSE135592;GSE135592
Tuberculosis,Infection,1,1,2,GSE164590
Tuberculosis,Subunit,1,1,2,GSE226075
Tuberculosis,Viral vector,5,1,2,GSE100288;GSE100288;GSE264141;GSE264141;GSE264141
Vaccinia,Attenuated,4,1,2,GSE165227;GSE165227;GSE165227;GSE165227
Yellow fever,Attenuated,2,1,2,GSE179131;GSE180384
Adjuvant,Adjuvant,3,2,3,GSE112920;GSE180384;GSE189000
Attenuated,BCG,9,2,3,GSE261448;GSE212202;GSE212203;GSE213340;GSE213342;GSE212204;GSE261448;GSE139948;GSE139948
Attenuated,Brucella abortus S19∆per mutan,1,2,3,GSE121040
Attenuated,"Cercarial, Whole",1,2,3,GSE222444
Attenuated,GP120 and GagPol,4,2,3,GSE165227;GSE165227;GSE165227;GSE165227
Attenuated,Listeria expressing OVA,1,2,3,GSE112741
Attenuated,NYVAC,4,2,3,GSE165227;GSE165227;GSE165227;GSE165227
Attenuated,P. chabaudi blood-stage,1,2,3,GSE129133
Attenuated,Spike,1,2,3,GSE179131
Attenuated,Whole,12,2,3,GSE186408;GSE225180;GSE271485;GSE244126;GSE122637;GSE164094;GSE164094;GSE164094;GSE164094;GSE179131;GSE180384;GSE254248
Attenuated,Whole (FluMist),1,2,3,GSE101696
Attenuated//Inactivated,BCG Copenhagen (SSI),1,2,3,GSE135592
Attenuated//Inactivated,BCG Pasteur (PAS),1,2,3,GSE135592
