gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,adjuvant,administration_route,main_sample_source,specific_sample_source,sequencing
GSE100288,CXCR3 signaling is required for restricted homing of parenteral TB vaccine-induced T cells to both the lung parenchyma and airway,28827285,Bacteria,Tuberculosis,Ag85A,VV,NA,NA,IN,Lung,TCD8,Microarray
GSE100288,CXCR3 signaling is required for restricted homing of parenteral TB vaccine-induced T cells to both the lung parenchyma and airway,28827285,Bacteria,Tuberculosis,Ag85A,VV,NA,NA,Parenteral,Lung,TCD8,Microarray
GSE135592,Whole genome profiling of murine lymphocytes and statistical validation of a panel of immune molecules to predict vaccine efficacy against Mycobacterium tuberculosis,32090856,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Spleen,NA,Microarray
GSE135592,Whole genome profiling of murine lymphocytes and statistical validation of a panel of immune molecules to predict vaccine efficacy against Mycobacterium tuberculosis,32090856,Bacteria,Tuberculosis,BCG,IN,NA,NA,SC,Spleen,NA,Microarray
GSE139948,Impact of metformin treatment on CD8 in non and BCG-vaccinated mice,33067434,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Spleen,TCD8+,Bulk
GSE164590,Single cell transcriptional analysis reveals the effects of mucosal vaccination on mouse lung CD4 T cell compartments,NA,Bacteria,Tuberculosis,Whole,INF,NA,NA,IN,Lung,NA,scRNAseq
GSE212202,Gene expression analysis of mouse alveolar macrophages infected with Mycobacterium tuberculosis isolated from BCG-vaccinated mice [balRNAseq],38236787,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Lung,"BAL, macrophages",Bulk
GSE212203,Gene expression analysis of alveolar macrophages from BCG-vaccinated and CoMtb mice stimulated ex vivo [exvivoRNAseq],38236787,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Lung,BAL,Bulk
GSE212204,Single-cell gene expression analysis of pulmonary immune cells from BCG-vaccinated and CoMtb mice [scRNAseq],38236787,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Lung,BAL,scRNAseq
GSE213340,Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis I,36456739,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Lung,BAL,Bulk
GSE213342,Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis II,36456739,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Lung,BAL,Bulk
GSE244126,BCG vaccination stimulates Integrated Organ Immunity by feedback of the adaptive immune response to imprint prolonged innate antiviral resistance,38036767,Bacteria,Tuberculosis,Whole,AT,NA,NA,No info,Lung,NA,scRNAseq
GSE261448,Early transcriptomic response of innate immune cells  to subcutaneous BCG vaccination of mice,39252057; 39768135,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Bone marrow,"monocytes, NK cells, neutrophils",Bulk
GSE261448,Early transcriptomic response of innate immune cells  to subcutaneous BCG vaccination of mice,39252057; 39768135,Bacteria,Tuberculosis,BCG,AT,NA,NA,SC,Spleen,NK cells,Bulk
GSE264141,RNA signatures followed by immunization of multiantigenic adenovirus-based vaccine candidate against mycobacterium tuberculosis,39927262,Bacteria,Tuberculosis,Ag85B,VV,NA,NA,SC,Blood,NA,Bulk
GSE264141,RNA signatures followed by immunization of multiantigenic adenovirus-based vaccine candidate against mycobacterium tuberculosis,39927262,Bacteria,Tuberculosis,Ag85B,VV,NA,NA,IM,Blood,NA,Bulk
GSE264141,RNA signatures followed by immunization of multiantigenic adenovirus-based vaccine candidate against mycobacterium tuberculosis,39927262,Bacteria,Tuberculosis,Ag85B,VV,NA,NA,IV,Blood,NA,Bulk
GSE179131,Single cell immune response to the mRNA SARS-CoV-2 vaccine and yellow fever in the lymph nodes of mice,NA,Virus,YFV,Whole,AT,NA,NA,SC,Lymph node,NA,scRNAseq
GSE180384,Single Cell RNA-seq of the draining lymph nodes of mice treated with either 3M052 or Yellow Fever Vaccine (YF),35087093,Virus,YFV,Whole,AT,NA,NA,SC,Lymph node,NA,scRNAseq
