gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,adjuvant,administration_route,main_sample_source,specific_sample_source,sequencing
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,HIV,GP120 and GagPol,AT,NA,NA,IM,Spleen,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,Vaccinia,NYVAC,AT,NA,NA,IM,Spleen,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,HIV,GP120 and GagPol,AT,NA,NA,IPeri,Spleen,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,Vaccinia,NYVAC,AT,NA,NA,IPeri,Spleen,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,HIV,GP120 and GagPol,AT,NA,NA,IM,Peritoneum,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,Vaccinia,NYVAC,AT,NA,NA,IM,Peritoneum,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,HIV,GP120 and GagPol,AT,NA,NA,IPeri,Peritoneum,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,Vaccinia,NYVAC,AT,NA,NA,IPeri,Peritoneum,NA,Bulk
GSE101696,Altered infant T cell differentiation in infection or vaccination reduces lung tissue-resident memory generation,28855242,Virus,Influenza,FluMist,AT,NA,NA,IN,Lung,NA,Bulk
GSE101747,Spleen transcriptional profiling of Mus musculus BALB/c strain after DNA vaccination against influenza H5N1,28883819,Virus,Influenza,H5N1,DNA,NA,NA,IM,Spleen,NA,Microarray
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Virus,Influenza,Agrippal,IN,NA,NA,IM,Blood,PBMCs,Microarray
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Virus,Influenza,Fluad,IN,Yes,MF59,IM,Blood,PBMCs,Microarray
GSE134647,Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,32714571,Virus,Influenza,Whole,IN,Yes,Addavax,IM,Lung,NA,Bulk
GSE134647,Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,32714571,Virus,Influenza,Whole,IN,Yes,Addavax,IV,Lung,NA,Bulk
GSE134647,Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,32714571,Virus,Influenza,Whole,IN,Yes,Addavax,IM,Lymph node,NA,Bulk
GSE134647,Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,32714571,Virus,Influenza,Whole,IN,Yes,Addavax,IV,Lymph node,NA,Bulk
GSE160010,"The Effect of Calcium on Activity, Immunogenicity and Efficacy of a Recombinant N1/N2 Neuraminidase Vaccine",33824333,Virus,Influenza,Neuraminidase,SU,NA,NA,IM,Lung,NA,Microarray
