title,organism,bio_project_accession,id
SARS-CoV-2 Nucleocapsid protein attenuates stress granule formation and interacts directly with mRNAs to impair host stress response (RNA-Seq),Homo sapiens (9606),PRJNA718085,718085
Specific Interaction of DDX6 with an RNA Hairpin in the 3?-UTR of the Dengue Genome Mediates G1 Phase Arrest,Homo sapiens (9606),PRJNA716981,716981
Innate immune response to the pfizer mrna cov-2-sars vaccine,Homo sapiens (9606),PRJNA715457,715457
Time-resolved transcriptomes of BCG vaccine induced trained immunity in human monocytes,Homo sapiens (9606),PRJNA707490,707490
"Transcriptional and Immunologic Correlates of Response to Pandemic Influenza Vaccine in Aviremic, HIV-Infected Children",Homo sapiens (9606),PRJNA705485,705485
Competition but not cross-competition controls T cell proliferation in transplant patients following cytomegalovirus reactivation,Homo sapiens (9606),PRJNA705213,705213
The memory B cell response to influenza vaccination is impaired in older persons,Homo sapiens (9606),PRJNA705211,705211
T follicular helper 17 (Tfh17) cells are superior for immunological memory maintenance,Homo sapiens (9606),PRJNA704268,704268
Low-energy electron irradiation as a potent alternative to gamma irradiation for the inactivation of (CAR-)NK-92 cells in ATMP manufacturing,Homo sapiens (9606),PRJNA702504,702504
T helper 2-biased transcriptional profile predicts HIV envelope-specific polyfunctional CD4+ T cells that correlated with reduced risk of infection in RV144 trial,Homo sapiens (9606),PRJNA702451,702451
Human anogenital monocyte-derived dendritic cells and langerin+ cDC2 are major HIV target cells,Homo sapiens (9606),PRJNA701461,701461
Blood gene expression profiles following influenza vaccination in pregnant women,Homo sapiens (9606),PRJNA701250,701250
Transcriptomic analysis of of SNX-5422-treated human primary tracheobronchial epithelial (TBE) cells.,Homo sapiens (9606),PRJNA700860,700860
Transcriptomes of human monocytes exposed to oxLDL ex vivo,Homo sapiens (9606),PRJNA699753,699753
Immunomodulatory effects of PI3Kδ inhibition in murine and human solid tumors [human],Homo sapiens (9606),PRJNA699478,699478
Single-cell analysis of the epigenomic and transcriptional landscape of innate immunity to seasonal and adjuvanted pandemic influenza vaccination in humans,Homo sapiens (9606),PRJNA699168,699168
Transcriptome-wide expression changes over time in cultured primary human monocytes due to DMOG treatment,Homo sapiens (9606),PRJNA698949,698949
Single-cell analysis of the epigenomic and transcriptional landscape of innate immunity to seasonal and adjuvanted pandemic influenza vaccination in humans (H5N1_scRNA-seq),Homo sapiens (9606),PRJNA698740,698740
Single-cell analysis of the epigenomic and transcriptional landscape of innate immunity to seasonal and adjuvanted pandemic influenza vaccination in humans (TIV_scRNA-seq),Homo sapiens (9606),PRJNA698738,698738
Microarray timecourse profiling of gene expression changes in primary human monocytes and B-cells cultured at high density to investigate FcgR2b associated gene expression changes,Homo sapiens (9606),PRJNA695262,695262
Adult Stem Cell-derived Complete Lung Organoid Models Emulate Lung Disease in COVID-19,Homo sapiens (9606),PRJNA693539,693539
Pneumococcal colonization impairs nasal and lung mucosal immune responses to Live Attenuated Influenza Vaccination in adults,Homo sapiens (9606),PRJNA692462,692462
Distinct B cell repertoires characterize patients with mild and severe COVID-19 [GEX],Homo sapiens (9606),PRJNA690255,690255
Innate immune signatures to a partially-efficacious HIV vaccine predict correlates of HIV-1 infection risk,Homo sapiens (9606),PRJNA690118,690118
Transcriptome differences in FCRL5 positive and negative Influenza-specific memory B cells,Homo sapiens (9606),PRJNA688481,688481
High throughput characterization of human glioblastoma multiforme cell response to Type 1 interferons,Homo sapiens (9606),PRJNA688307,688307
Elevated HIV trans-infection of CD4 T cells in MRKAd5 vaccine recipients due to CD8 T cells targeting of adapted epitopes,Homo sapiens (9606),PRJNA687027,687027
IFNγ modulates the immunopeptidome of triple negative breast cancer cells by enhancing and diversifying antigen processing and presentation,Homo sapiens (9606),PRJNA684592,684592
"Comparative transcriptomic analysis of THP‑1 derived macrophages infected with Mycobacterium tuberculosis H37Rv, H37Ra and BCG",Homo sapiens (9606),PRJNA682755,682755
Single-cell transcriptional profiling informs efficient reprogramming of human somatic cells to cross-presenting dendritic cells,Homo sapiens (9606),PRJNA682551,682551
Transcriptomic profile of circulating memory CD4 T cells in active versus latent tuberculosis,Homo sapiens (9606),PRJNA679586,679586
The primary immune response to Vaccinia virus vaccination includes cells with a distinct cytotoxic effector CD4 T cell phenotype,Homo sapiens (9606),PRJNA675287,675287
RNAseq from nasopharyngeal swab RNA prior to intranasal live attenuated influenza vaccine in children,Homo sapiens (9606),PRJNA670718,670718
Developmental regulation by miR-29 specifies age-related differences in the CD8+ T cell immune response (Human RNA-Seq),Homo sapiens (9606),PRJNA670188,670188
Targeted single-cell RNAseq of tonsil organoid cultures,Homo sapiens (9606),PRJNA665262,665262
IVIGET (In Vitro Gene Expression Testing),Homo sapiens (9606),PRJNA664095,664095
Herpes simplex encephalitis in a patient   with a new form of  inherited IFNAR1 deficiency,Homo sapiens (9606),PRJNA663472,663472
Monocyte-derived DC Expression Data from Advanced Staged Melanoma Patients,Homo sapiens (9606),PRJNA662594,662594
Quantitative Analysis of 4 different type T cells Transcriptomes,Homo sapiens (9606),PRJNA662591,662591
A chimpanzee adenovirus-vectored single dose therapeutic vaccine for post kala azar dermal leishmaniasis,Homo sapiens (9606),PRJNA658574,658574
Transcriptional signature of BCG vaccination,Homo sapiens (9606),PRJNA657864,657864
Whole blood transcriptome analysis reveals SARS-CoV-2 ORF8 as a potential therapeutic and vaccine target,Homo sapiens (9606),PRJNA649786,649786
Multi-omic data integration allows baseline immune signatures to predict hepatitis B vaccine response in a small cohort,Homo sapiens (9606),PRJNA648957,648957
Severely ill COVID-19 patients display impaired exhaustion features in SARS-CoV-2-reactive CD8+ T cells,Homo sapiens (9606),PRJNA644579,644579
Single-cell analysis reveals divergent responses of human dendritic cells to the MVA vaccine,Homo sapiens (9606),PRJNA644334,644334
Transcriptomes of human neutrophils before and after in vivo exposure to Bacillus Calmette-Guérin vaccine,Homo sapiens (9606),PRJNA643818,643818
scRNAseq of activated cells of the B cell lineage in the tumor microenvironment,Homo sapiens (9606),PRJNA643236,643236
An ESR1 neoepitope vaccine targeting resistance mutations induces cross-protective anti-tumor immune responses against ER+ Breast Cancer,Homo sapiens (9606),PRJNA641367,641367
System level view of the vaccine induced immune response,Homo sapiens (9606),PRJNA640099,640099
Imbalance of regulatory and cytotoxic SARS-CoV-2-reactive CD4+ T cells in COVID-19,Homo sapiens (9606),PRJNA639580,639580
RNA sequencing of T cells from individuals with variants in CD101,Homo sapiens (9606),PRJNA639140,639140
Myeloid regulation signature persists after virus clearance in mild human primary dengue serotype 2 infection,Homo sapiens (9606),PRJNA638819,638819
Characterization of a Novel Compound that Stimulates STING-Mediated Innate Immune Activity in an Allele-Specific Manner,Homo sapiens (9606),PRJNA638562,638562
Transcriptome analysis induced by EV-A71 infection,Homo sapiens (9606),PRJNA637599,637599
Transcriptome analysis induced by CVS infection,Homo sapiens (9606),PRJNA637598,637598
Transcriptome analysis induced by CV-A16 infection,Homo sapiens (9606),PRJNA637597,637597
Transcriptome analysis induced by CTN infection,Homo sapiens (9606),PRJNA637596,637596
Two distinct immunopathological profiles in lungs of lethal COVID-19,Homo sapiens (9606),PRJNA637143,637143
Sex-Specific Differences of Humoral Immunity and Transcriptome Diversification in Older Adults Vaccinated with Inactivated Quadrivalent Influenza Vaccines,Homo sapiens (9606),PRJNA636362,636362
Transcriptomic responses to a live-attenuated Francisella tularensis vaccine,Homo sapiens (9606),PRJNA630207,630207
Identification of A Drug Blocking SARS-CoV-2 Infection using Human Pluripotent Stem Cell-derived Colon Organoids,Homo sapiens (9606),PRJNA622691,622691
Two subsets of stem-like CD8+ memory T cell progenitors with distinct fate commitments in humans,Homo sapiens (9606),PRJNA614485,614485
Two subsets of stem-like CD8+ memory T cell progenitors with distinct fate commitments in humans,Homo sapiens (9606),PRJNA614484,614484
Two subsets of stem-like CD8+ memory T cell progenitors with distinct fate commitments in humans,Homo sapiens (9606),PRJNA614483,614483
Whole blood RNA-seq from healthy adults after vaccination with a replication-competent tetravalent dengue vaccine,Homo sapiens (9606),PRJNA611583,611583
Single-cell transcriptomic analysis of allergen-specific T cells in allergy and asthma [scRNA-Seq],Homo sapiens (9606),PRJNA609655,609655
Single-cell transcriptomic analysis of allergen-specific T cells in allergy and asthma [RNA-Seq],Homo sapiens (9606),PRJNA609120,609120
The transcriptional landscape of Venezuelan equine encephalitis virus infection,Homo sapiens (9606),PRJNA608425,608425
"Antigen-stimulated PBMC transcriptional signatures of protection upon malaria sporozoite and RTS,S/AS01E immunizations",Homo sapiens (9606),PRJNA605110,605110
Transcriptional profiles in pregnant women in response to vaccination,Homo sapiens (9606),PRJNA603999,603999
Transcriptomic programming of human CD8+ T cells. By pDCs and cDC2s jin the context of DC-based cancer vaccines,Homo sapiens (9606),PRJNA597777,597777
Immunological fingerprints of controllers developing neutralizing HIV-1 antibodies,Homo sapiens (9606),PRJNA593611,593611
Transcriptome and Epigenome Characterization of Long Term Trained Immunity in Cotrolled Human Malaria Model [RNA-seq],Homo sapiens (9606),PRJNA564322,564322
Flagellin adjuvanted F1/V subunit plague vaccine induces T cell and functional antibody responses with unique gene signatures,Homo sapiens (9606),PRJNA563907,563907
Transcriptional profiling of YF-naïve participants after vaccination against yellow fever.,Homo sapiens (9606),PRJNA561414,561414
N6-methyladenosine is a molecular signature for discrimination of self and non-self RNA by cytoplasmic RNA sensor RIG-I,Homo sapiens (9606),PRJNA561373,561373
Effect of zinc chelation in Caco-2 cells,Homo sapiens (9606),PRJNA560386,560386
Robust hepatitis E virus infection and transcriptional response in human hepatocytes,Homo sapiens (9606),PRJNA559467,559467
RNA-sequencing of human peripheral blood mononuclear cells from Tanzanian children,Homo sapiens (9606),PRJNA556960,556960
Vaccine-induced ICOS+CD38+ cTfh are sensitive biosensors of age-related changes in inflammatory pathways,Homo sapiens (9606),PRJNA555109,555109
Human platelet RNA-seq,Homo sapiens (9606),PRJNA554873,554873
The effect of H1N1 vaccination on serum miRNA expression in children: a tale of caution for microRNA microarray studies,Homo sapiens (9606),PRJNA554356,554356
Influenza Vaccination Primes Human Myeloid Cell Cytokine Secretion and Natural Killer Cell Function,Homo sapiens (9606),PRJNA551581,551581
Single cell RNA sequencing analysis of CD8+ T cell subsets following DENV-vaccine administration,Homo sapiens (9606),PRJNA549515,549515
Activation Dynamics and Immunoglobulin Evolution of Pre-existing and Newly Generated Human Memory B-cell Responses to Influenza Hemagglutinin,Homo sapiens (9606),PRJNA549473,549473
Combined proteomics and miRNomics of a glioblastoma immunotherapy cohort reveal resistance factor candidates and potential counterstrategies,Homo sapiens (9606),PRJNA548350,548350
Intratumoral TFR cells curtail anti-PD-1 treatment efficacy [human],Homo sapiens (9606),PRJNA547554,547554
beta-glucan-induced trained immunity protects against Leishmania braziliensis infection: a crucial role for IL-32,Homo sapiens (9606),PRJNA546242,546242
Gene expression profiling reveals insights into infant immunological and febrile responses to capsular group B meningococcal vaccine,Homo sapiens (9606),PRJNA545334,545334
Transcriptomic analysis of effect of oncolytic measles virus (MV) on transformed and non-transformed bone marrow-derived mesenchymal stem cells (MSCs),Homo sapiens (9606),PRJNA545099,545099
Mimicking immune signatures of flavivirus infection with targeted adjuvants improves dengue subunit vaccine immunogenicity in mice and primates,Homo sapiens (9606),PRJNA545080,545080
Inhibition of Lysine-Specific Demethylase-1 in Myelodysplastic Syndrome Progenitors Restores Differentiation of CD141Hi Conventional Dendritic Cells,Homo sapiens (9606),PRJNA544952,544952
A large peptidome dataset improves HLA class I epitope prediction across most of the human population,Homo sapiens (9606),PRJNA543098,543098
IGH VDJ-RNA-seq of circulating plasma cells at day zero and seven relative to experimental vaccination dosing,Homo sapiens (9606),PRJNA542644,542644
RNA-seq of circulating Tfh like cells at day zero and seven and 28 relative to experimental vaccination dosing,Homo sapiens (9606),PRJNA542640,542640
Human Thoracic Duct Lymph Contains Circulatory Intermediates T Follicular Helper Cells [RNA-Seq],Homo sapiens (9606),PRJNA541442,541442
Effects of losmapimod on antigen-specific response in aged skin,Homo sapiens (9606),PRJNA540838,540838
IgG is differentially and selectively transferred across the placenta in HIV-infected women,Homo sapiens (9606),PRJNA530703,530703
Whole blood RNAseq following live attenuated influenza vaccine in Gambian children,Homo sapiens (9606),PRJNA526839,526839
Human Eosinophils Express a Distinct Gene Expression Program in Response to IL-3 Compared to Common Beta-Chain Cytokines IL-5 and GM-CSF,Homo sapiens (9606),PRJNA526069,526069
Inflammatory Mediator Expression Associated With Antibody Response Induced by Live Attenuated vs Inactivated Influenza Virus Vaccine in Children.,Homo sapiens (9606),PRJNA525416,525416
Interferon and inflammasome networks are associated with lower neutralizing antibody responses to Yellow Fever vaccination,Homo sapiens (9606),PRJNA517957,517957
"Transcriptional profiling of HBV-naïve subjects after vaccination against Hepatitis A/B viruses, Diphtheria/Tetanus toxoids and Cholera.",Homo sapiens (9606),PRJNA517724,517724
Gene expression for surgically treated pancreatic cancer after one neoadjuvant vaccine dose,Homo sapiens (9606),PRJNA516645,516645
Gene expression signatures after immunisation with an HIV-1 recombinant Vesicular Stomatitis Virus (VSV) vaccine following three priming doses of  IL-12 pDNA enhanced HIV-1 multi-antigen pDNA vaccine (BIOVACSAFE protocol HVTN087),Homo sapiens (9606),PRJNA514931,514931
"Gene expression signatures after immunisation with Boostrix - alum adsorbed tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine (BIOVACSAFE protocol 305D2)",Homo sapiens (9606),PRJNA514018,514018
Gene expression signatures in blood and muscle biopsy after intramuscular immunization of healthy adult humans with adjuvanted vaccines (BIOVACSAFE protocol 305E),Homo sapiens (9606),PRJNA513261,513261
"Gene expression signatures after immunisation with a range of live, inactivated and adjuvanted vaccines (BIOVACSAFE protocols 305A, 305B and 305C)",Homo sapiens (9606),PRJNA513089,513089
Gene expression signatures after immunisation with MF59C adjuvanted trivalent inactivated influenza vaccine for season 2014-2015 Northern hemisphere (BIOVACSAFE protocol 305D),Homo sapiens (9606),PRJNA513088,513088
CD56dim NK cell gene signature in melanoma patients with better and worse clinical outcomes,Homo sapiens (9606),PRJNA512522,512522
Human Bacille Calmette-Guérin vaccination elicits trained immunity via the hematopoietic progenitor compartment  [bone marrow],Homo sapiens (9606),PRJNA511004,511004
Human Bacille Calmette-Guérin vaccination elicits trained immunity via the hematopoietic progenitor compartment [PBMC],Homo sapiens (9606),PRJNA511002,511002
Gene expression data of glioblastoma patients from GAPVAC trial (Glioma Actively Personalized Vaccine Consortium),Homo sapiens (9606),PRJNA505415,505415
Immunotherapy Utilizing NK cells and ADCC Mediating Agents with Poly (ADP-ribose) polymerase (PARP) Inhibition,Homo sapiens (9606),PRJNA498086,498086
RNA-Sequencing data of Varicella Zoster Virus (VZV)-infected human dermal fibroblasts (HDF),Homo sapiens (9606),PRJNA497243,497243
Perturbation of the metabolic phenotypes of vaccination by the gut microbiome in humans [phase II],Homo sapiens (9606),PRJNA494241,494241
Perturbation of the metabolic phenotypes of vaccination by the gut microbiome in humans [phase I],Homo sapiens (9606),PRJNA494240,494240
HantavaxTM vaccinated peripheral blood mononuclear cells (PBMCs) and sera analyses by transcriptomic and metabolomic profilings,Homo sapiens (9606),PRJNA491676,491676
HiSeq analysis of human gene expression profile following infection with highly pathogenic avian influenza A virus (H5N1; A/Chicken/Vietnam/0008/04),Homo sapiens (9606),PRJNA490197,490197
Selective expansion of myeloid and NK cells in humanized mice yields human-like vaccine responses (Experiment 2: scRNA-seq),Homo sapiens (9606),PRJNA490177,490177
Selective expansion of myeloid and NK cells in humanized mice yields human-like vaccine responses (Experiment 1: RNA-seq),Homo sapiens (9606),PRJNA490176,490176
Transcriptional expression data from vaccinia/HIV-1 vaccine immunized healthy subjects [in vivo],Homo sapiens (9606),PRJNA487689,487689
Inflammation induced by influenza virus impairs innate control of human pneumococcal carriage,Homo sapiens (9606),PRJNA482564,482564
"Molecular alterations induced by Yersinia pestis, dengue virus and Staphylococcus enterotoxin B under the background of battlefield-like stress (miRNA-Seq)",Homo sapiens (9606),PRJNA482157,482157
Results from analysis of microarray data from clinical trial NCT00805389,Homo sapiens (9606),PRJNA480771,480771
Dengue virus-specific CD8 T cell subsets are associated with specialized gene expression profiles and TCR repertoires,Homo sapiens (9606),PRJNA480690,480690
"Molecular alterations induced by Yersinia pestis, dengue virus and Staphylococcus enterotoxin B under the background of battlefield-like stress (microarray)",Homo sapiens (9606),PRJNA479982,479982
Phase 1 Trial With Challenge to Assess the Safety and Biomarkers of Protection in Malaria-naive Adults of Immunization Via Mosquito Bite With Radiation-Attenuated Plasmodium Falciparum Sporozoites (IMRAS) - Day 0-28,Homo sapiens (9606),PRJNA479519,479519
Spec-seq unveils transcriptional subpopulations of antibody-secreting cells following influenza vaccination,Homo sapiens (9606),PRJNA478850,478850
RNA-seq of HIV bnAb and control individuals PBMC,Homo sapiens (9606),PRJNA475036,475036
Transcriptional responses in whole blood of healthy adult volunteers experimentally challenged with S. Paratyphi,Homo sapiens (9606),PRJNA459561,459561
Transcriptomic profile of circulating CD4+ T cells from TCM and TEM  memory compartments from donors vaccinated at birth either with whole or acellular Pertussis vaccine,Homo sapiens (9606),PRJNA454373,454373
Transcriptional responses in whole blood of febrile individuals in Nepal,Homo sapiens (9606),PRJNA454302,454302
Transcriptional responses in whole blood of healthy adult volunteers experimentally challenged with S. Typhi,Homo sapiens (9606),PRJNA450196,450196
Characterization of innate immune responses to AS03 adjuvanted H5N1 vaccine compared to non-adjuvanted H5N1 vaccine.,Homo sapiens (9606),PRJNA445554,445554
Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer [ 10x genomics],Homo sapiens (9606),PRJNA438507,438507
Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer [ bulk RNA-seq],Homo sapiens (9606),PRJNA438495,438495
Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer [scRNA-seq],Homo sapiens (9606),PRJNA438494,438494
Small Sample-Big Data: Integrative Indexed Systems Biology Reveals Dramatic Molecular Ontogeny over the First Week of Human Life,Homo sapiens (9606),PRJNA436923,436923
Small Sample-Big Data: Integrative Indexed Systems Biology Reveals Dramatic Molecular Ontogeny over the First Week of Human Life,Homo sapiens (9606),PRJNA436687,436687
Transcriptomic profiling following de novo hepatitis B vaccination reveals role of granulocytes in non-responders,Homo sapiens (9606),PRJNA433844,433844
Expression data from stimulated NK cells,Homo sapiens (9606),PRJNA433730,433730
Expression data from different levels of anti-CD4 in HIV+ people,Homo sapiens (9606),PRJNA432157,432157
Differential miRNA Expression in B Cells/T Cells Associated with Inter-individual Differences in Humoral Immune Response to Measles Vaccination,Homo sapiens (9606),PRJNA429049,429049
Multi-omics profiling for individualized precision wellness [blood (PBMCs) RNA-seq],Homo sapiens (9606),PRJNA428258,428258
Longitudinal Saliva Omics Responses to Immune Perturbation: A Case Study [saliva small RNA-seq],Homo sapiens (9606),PRJNA428257,428257
Longitudinal Saliva Omics Responses to Immune Perturbation: A Case Study [Saliva RNA-sequencing],Homo sapiens (9606),PRJNA428256,428256
Conventional and neo-antigenic peptides naturally processed and presented by beta cells are targeted by circulating naïve CD8+ T cells in type 1 diabetic and healthy donors,Homo sapiens (9606),PRJNA427190,427190
"Gene expression profiles associated with humoral response to influenza vaccine, Vaxigrip, in young and elderly subjects of Chinese ethnicity in Singapore",Homo sapiens (9606),PRJNA422122,422122
Characterization of gene expression in antibody secreting cells,Homo sapiens (9606),PRJNA421015,421015
Paired TCR and transcriptome analysis of single T cells characterizes clonally expanded human conventional and unconventional CD8+ T cells,Homo sapiens (9606),PRJNA420968,420968
"Analysis of classical monocytes from healthy donors, pretreatment RCC patients, and RCC long term survivors.",Homo sapiens (9606),PRJNA418161,418161
Analysis of monocyte subsets from pretreatment RCC patients compared to healthy donors.,Homo sapiens (9606),PRJNA418160,418160
Analysis of human classical and non-classical monocytes compared to their dendritic cell counterpart.,Homo sapiens (9606),PRJNA418159,418159
Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis [bulk RNA-seq],Homo sapiens (9606),PRJNA417194,417194
Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis [10X genomics],Homo sapiens (9606),PRJNA417193,417193
Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis [TCRseq],Homo sapiens (9606),PRJNA417192,417192
Precursors of human CD4+ cytotoxic T lymphocytes identified by single-cell transcriptome analysis [scRNA-seq],Homo sapiens (9606),PRJNA417191,417191
Molecular Signatures Associated with Prolonged Survival In Melanoma Patients Treated with Dendritic Cell-Based Immunotherapy,Homo sapiens (9606),PRJNA415645,415645
Transcriptional reprogramming of human CD4 T cells transitioning from active to memory state,Homo sapiens (9606),PRJNA412219,412219
Comprehensive understanding of identities and antigenicities of surface and secreted proteins in Toxoplasma gondii tachyzoites,Homo sapiens (9606),PRJNA407885,407885
"A Safety and Efficacy Study of Concomitant Administration of ChAd63/MVA ME-TRAP + RTS,S",Homo sapiens (9606),PRJNA407365,407365
"A Safety and Efficacy Study of ChAd63/MVA METRAP + RTS,S",Homo sapiens (9606),PRJNA407360,407360
Genome-wide analysis of herpes simplex virus type 1 (HSV-1) infected cells,Homo sapiens (9606),PRJNA406943,406943
Transcriptomic profiling of RV144 trial participants after vaccination with ALVAC-HIV and AIDSVAX B/E. [rv144],Homo sapiens (9606),PRJNA406921,406921
Transcriptomic profiling of RV144 trial participants before and after vaccination with ALVAC-HIV and AIDSVAX B/E.[rv144pilot],Homo sapiens (9606),PRJNA406919,406919
"Transcriptional responses to RTS,S standard regimen (RRR) and Ad35.CS+R,R vaccination in controlled human malaria infection study",Homo sapiens (9606),PRJNA401870,401870
Trigger-happy resident memory CD4+ T cells inhabit the human lungs.,Homo sapiens (9606),PRJNA401818,401818
The comparsion of gene expression in ALVAC- and Ad5-infected human monocyte-derived dendritic cells,Homo sapiens (9606),PRJNA400483,400483
Sequential inflammatory processes define human progression from M. tuberculosis infection to tuberculosis disease,Homo sapiens (9606),PRJNA400331,400331
RNA-Seq analysis of the TB-019 GSK M72/AS01E trial ,Homo sapiens (9606),PRJNA398057,398057
Adjuvant associated peripheral-blood mRNA profiles and kinetics induced by the adjuvanted recombinant-protein candidate tuberculosis vaccine M72/AS01 in BCG-vaccinated adults,Homo sapiens (9606),PRJNA397768,397768
"Gene responses to RTS,S malaria vaccination in controlled human malaria study",Homo sapiens (9606),PRJNA397222,397222
Systems Biology of Influenza A (H5N1) Virus Monovalent Vaccine with and without AS03 adjuvant,Homo sapiens (9606),PRJNA396199,396199
Gene expression analysis of Influenza vaccine response in Young and Old - Year 4,Homo sapiens (9606),PRJNA395238,395238
Gene expression analysis of Influenza vaccine response in Young and Old - Year 5,Homo sapiens (9606),PRJNA395237,395237
Expression data from different levels of ANA in HIV+ people,Homo sapiens (9606),PRJNA394897,394897
RNA-seq analysis of YFV-17D specific and total naive CD8 T cells in humans,Homo sapiens (9606),PRJNA392910,392910
Transcriptional responses to oral live attenuated typhoid vaccines,Homo sapiens (9606),PRJNA392453,392453
Increased adaptative immune response and proper feedback reguation protect against clinical Dengue,Homo sapiens (9606),PRJNA391286,391286
Expression profile of microRNAs in serum extracellular vesicles isolated from 6 healthy subjects,Homo sapiens (9606),PRJNA390771,390771
Adenosine DeAminase-1 (ADA-1) improves Follicular helper T cell function and vaccine response [2],Homo sapiens (9606),PRJNA389590,389590
Adenosine DeAminase-1 (ADA-1) improves Follicular helper T cell function and vaccine response [1],Homo sapiens (9606),PRJNA389396,389396
Gene expression profile of differentially recognized Mtb-epitopes as a function of disease history,Homo sapiens (9606),PRJNA389273,389273
External RNA Control Consortium (ERCC) spikes in RNA sequencing (RNA-Seq) data normalization: transcriptome analysis of yellow fever virus-infected cells,Homo sapiens (9606),PRJNA387233,387233
Whole transcriptome profile of citrulline-specific B cells from patients with rheumatoid arthritis,Homo sapiens (9606),PRJNA386964,386964
Viral infection is a risk factor for TB disease in infants,Homo sapiens (9606),PRJNA385499,385499
A third generation therapeutic vaccine for human visceral leishmaniasis and post kala azar dermal leishmaniasis: first-in-human trial of ChAd63-KH,Homo sapiens (9606),PRJNA384259,384259
VT257_DengueVaccination,Homo sapiens (9606),PRJNA383833,383833
MicroRNA expression in a phosphaturic mesenchymal tumour,Homo sapiens (9606),PRJNA383790,383790
"RA-MAP: mapping the molecular immunological landscape in early rheumatoid arthritis with vaccine controls [6 month RA, Whole Blood, PBMC, CD4, CD8, CD14]",Homo sapiens (9606),PRJNA383424,383424
"RA-MAP: mapping molecular immunological landscapes in early rheumatoid arthritis and healthy vaccine recipients [Baseline RA, Whole Blood, PBMC, CD4, CD8, CD14]",Homo sapiens (9606),PRJNA382983,382983
Host transcription profile in nasal epithelium and blood of hospitalized children under two years old with Respiratory Syncitial Virus infection [whole blood],Homo sapiens (9606),PRJNA382801,382801
Host transcription profile in nasal epithelium and blood of hospitalized children under two years old with Respiratory Syncitial Virus infection [nasopharyngeal swaps],Homo sapiens (9606),PRJNA382800,382800
"Next Generation Sequencing RNA Seq data from UKE Phase I rVSV ZEBOV vaccine clinical trial, from full blood samples on Days 0,1,3,7",Homo sapiens (9606),PRJNA382377,382377
RA-MAP: mapping molecular immunological landscapes in early rheumatoid arthritis and healthy vaccine recipients [Healthy Hepatitis B Vaccine Recipients],Homo sapiens (9606),PRJNA381947,381947
RA-MAP: mapping molecular immunological landscapes in early rheumatoid arthritis and healthy vaccine recipients [small RNA SEQUENCING],Homo sapiens (9606),PRJNA381937,381937
Gene expression analysis of Influenza vaccine response in Young and Old - Year 3 - B and T cells,Homo sapiens (9606),PRJNA377562,377562
Human tissue-resident memory T cells are defined by core transcriptional and functional signatures in lymphoid and mucosal sites,Homo sapiens (9606),PRJNA374963,374963
Different microRNA Profiles Reveal the Diverse Outcomes Induced by EV71 and CA16 Infection in Human Umbilical Vein Endothelial Cells Using High-Throughput Sequencing,Homo sapiens (9606),PRJNA371463,371463
Human monocyte subsets are transcriptionally and functionally altered in aging in response to pattern recognition receptor agonists [InVitro],Homo sapiens (9606),PRJNA369860,369860
Human monocyte subsets are transcriptionally and functionally altered in aging in response to pattern recognition receptor agonists [ExVivo],Homo sapiens (9606),PRJNA369859,369859
FLUNEXT transcriptome analysis,Homo sapiens (9606),PRJNA362217,362217
High-dimensional assessment of B cell responses to quadrivalent meningococcal conjugate and plain polysaccharide vaccine,Homo sapiens (9606),PRJNA358723,358723
Circulating CXCR5+CXCR3+PD-1Lo Tfh-like cells in HIV-1 controllers with neutralizing antibody breadth,Homo sapiens (9606),PRJNA356289,356289
Correlates of self-reported symptom scores in a human H1N1 influenza challenge trial,Homo sapiens (9606),PRJNA355641,355641
"Harnessing RNA sequencing for global, unbiased evaluation of two new adjuvants for dendritic-cell immunotherapy",Homo sapiens (9606),PRJNA352224,352224
"Systems analysis of protective immune responses to RTS,S malaria vaccination in humans",Homo sapiens (9606),PRJNA351258,351258
Maternal BCG scar is associated with enhanced infant proinflammatory responses,Homo sapiens (9606),PRJNA347636,347636
"Safety and Immunogenicity of the Recombinant BCG Vaccine AERAS-422 in Healthy BCG-naïve Adults: A Randomized, Active-controlled, First-in-human Phase 1 Trial",Homo sapiens (9606),PRJNA343804,343804
Loss of miR-16 mediated silencing of SQSTM1 is associated with Paget's associated osteosarcoma,Homo sapiens (9606),PRJNA343232,343232
"Safety and immunogenicity of the recombinant BCG vaccine VPM1002, in South African infants",Homo sapiens (9606),PRJNA342437,342437
Gene expression signatures in activated CD4 T cells to predict_vaccine responses,Homo sapiens (9606),PRJNA341468,341468
Gene expression signatures in whole blood to predict vaccine responses,Homo sapiens (9606),PRJNA341467,341467
Transcription profiling of PfSPZ Malaria Vaccine trial subjects in a malaria endemic region,Homo sapiens (9606),PRJNA341405,341405
