title,organism,bio_project_accession,id
Identifying genetic expression patterns as marker for sensitivity to oncolytic viruses using patient-derived pancreatic ductal adenocarcinoma organoids,Homo sapiens (9606),PRJNA1220003,1220003
Multi-Omics Analysis of the Immunological State at Baseline and Following SARS-CoV-2 mRNA Vaccination in Lung Transplant Recipients [RNA-seq],Homo sapiens (9606),PRJNA1216985,1216985
Single-cell RNA sequencing of PBMCs from COVID-19 recovered adolescents (n = 3) and adults (n = 3),Homo sapiens (9606),PRJNA1201747,1201747
Development and comprehensive evaluation of synthetic scarless circular RNAs,Homo sapiens (9606),PRJNA1200618,1200618
CRISPR editing of candidate host factors that impact influenza A virus infection,Homo sapiens (9606),PRJNA1199415,1199415
Dendritic Cell Immunotherapy with Homologous Antigenic Loading as Adjuvant Treatment for Glioblastoma: Phase I Trial Analysis [RNA-seq],Homo sapiens (9606),PRJNA1194562,1194562
Influenza virus exposure shapes the B cell response to influenza vaccination fifty years later,Homo sapiens (9606),PRJNA1193580,1193580
Detailed delineation of the immune response to COVID-19 mRNA vaccination via high-temporal frequency blood transcriptomics [third],Homo sapiens (9606),PRJNA1186068,1186068
RNA-Seq Analysis to investigate the impact of  hypoxia on the host responses to Nontypeable Haemophilus influenzae infection in the human explanted lung,Homo sapiens (9606),PRJNA1181561,1181561
Pre-vaccination transcriptomic profiles of immune responders to the MUC1 peptide vaccine for colon cancer prevention,Homo sapiens (9606),PRJNA1167333,1167333
Two distinct durable human switched memory B cell populations are induced by vaccination and infection,Homo sapiens (9606),PRJNA1166904,1166904
Investigating cellular transcriptomic alterations caused by VEEV replicase and SARS-CoV-2 mRNA co-transfection,Homo sapiens (9606),PRJNA1164791,1164791
MVA-based SARS-CoV-2 vaccine candidates encoding different spike protein conformations induce distinct early transcriptional responses which may impact subsequent adaptive immunity,Homo sapiens (9606),PRJNA1157815,1157815
Uncovering the Dynamics of Immune Cell Populations in the First Week of Life: The Interplay of Neutrophils and Breastfeeding,Homo sapiens (9606),PRJNA1153034,1153034
Differential Induction of Interferon-Stimulated Genes by Cell-Based Versus Egg-Based Quadrivalent Influenza Vaccines in Children During the 2018-2019 Season,Homo sapiens (9606),PRJNA1147275,1147275
Antigen-specific T helper cells predict intensity and longevity of immune responses to SARS-CoV-2 booster vaccination,Homo sapiens (9606),PRJNA1144424,1144424
Loss of CD4 T cell responses to prior vaccines associate with inflammation and altered transcriptional signatures in HIV infection,Homo sapiens (9606),PRJNA1144374,1144374
The effect of rewarming ischemia on tissue transcriptome signatures: a clinical observational study in lung transplantation,Homo sapiens (9606),PRJNA1140626,1140626
Development of activation-induced marker assay to identify HCV-specific T cells for single-cell RNA-seq analysis.,Homo sapiens (9606),PRJNA1140623,1140623
CCR7 Expression Distinguishes Functionally Distinct pTfh1 Subsets with Roles in Malaria-Specific Immunity,Homo sapiens (9606),PRJNA1139670,1139670
"Features of chronic urticaria after COVID-19 mRNA vaccine, a real-life cohort study",Homo sapiens (9606),PRJNA1137881,1137881
Characteristics of a CCL21-gene modified dendritic cell vaccine utilized for a clinical trial in non-small cell lung cancer,Homo sapiens (9606),PRJNA1135255,1135255
IFN-ɣ derived from activated human CD4+ T cells inhibits the replication of SARS-CoV-2 depending on cell-type and viral strains.,Homo sapiens (9606),PRJNA1134246,1134246
Deep longitudinal immune profiling reveals reprogramming of memory T cells that links to B cell dysregulation with age,Homo sapiens (9606),PRJNA1133820,1133820
CD16 and CD57 Expressing Gamma Delta T Cells in Acute HIV-1 Infection are Associated with the Development of Neutralization Breadth,Homo sapiens (9606),PRJNA1131432,1131432
Fc-engineered antibodies leverage neutrophils to drive control of Mycobacterium tuberculosis,Homo sapiens (9606),PRJNA1129572,1129572
B cell characteristics define HCV reinfection outcome,Homo sapiens (9606),PRJNA1123702,1123702
Longitudinal Multiomic Profiling and Corticosteroid Modulation of the Immediate Innate Immune Response to an Adenovirus-vector Vaccine,Homo sapiens (9606),PRJNA1121908,1121908
Cytolytic γδ T-cells and IFNγ-producing CD4-lymphocytes characterise the early response to MTBVAC tuberculosis vaccine,Homo sapiens (9606),PRJNA1116101,1116101
Full-length single-cell BCR sequencing paired with RNA sequencing reveals convergent responses to vaccination,Homo sapiens (9606),PRJNA1108286,1108286
A randomized double-blind Phase IIb trial to evaluate the efficacy of ChAd63-KH for the treatment of post kala-azar dermal leishmaniasis,Homo sapiens (9606),PRJNA1106492,1106492
Transcriptomic analysis after SARS-CoV-2 mRNA vaccination reveals a specific gene signature in low-responder hemodialysis patients,Homo sapiens (9606),PRJNA1105077,1105077
Microglial mechanisms drive amyloid-β clearance in immunized patients with Alzheimer’s disease [dataset2],Homo sapiens (9606),PRJNA1095493,1095493
"Interferons and epigenetic mechanisms in training, priming and tolerance of monocytes and hematopoietic progenitors [RNA-seq]",Homo sapiens (9606),PRJNA1094892,1094892
Impaired B-cell function in ERCC2 deficiency,Homo sapiens (9606),PRJNA1090832,1090832
Epitope-specific T cell responses after SARS-CoV-2 vaccination [scRNA-dextramer_s2],Homo sapiens (9606),PRJNA1089646,1089646
Epitope-specific T cell responses after SARS-CoV-2 vaccination [scRNA_dextramer_mixed_time],Homo sapiens (9606),PRJNA1089645,1089645
Prior vaccination prevents overactivation of innate immune responses during COVID-19 breakthrough infection,Homo sapiens (9606),PRJNA1089238,1089238
Gene expression profile of in-vitro differentiated Dendritic Cells (DCs) from induced pluripotent stem cell (iPSC) and cord blood sources,Homo sapiens (9606),PRJNA1088507,1088507
Inflammation of the Nasal Mucosa is Associated with Susceptibility to Experimental Pneumococcal Challenge in Older Adults,Homo sapiens (9606),PRJNA1086376,1086376
A Novel Viral Assembly Inhibitor Blocks SARS-CoV-2 Replication in Airway Epithelial Cells,Homo sapiens (9606),PRJNA1084811,1084811
RNA Sequencing of dendritic cells treated with glycan-costumed virus-like particles,Homo sapiens (9606),PRJNA1055489,1055489
Impaired innate and adaptive immune responses to BNT162b2 SARS-CoV-2 vaccination in systemic lupus erythematosus,Homo sapiens (9606),PRJNA1051621,1051621
