geo_sample,subject_id,sex,treatment,tissue,timepoint,animal_replicate,strain,condition
GSM3407182,IFA_MLN_0h_2,Female,IFA,draining medial iliac lymph nodes (MLN),0,2,CB6F1,IFA_0_draining medial iliac lymph nodes (MLN)
GSM3407183,IFA_MLN_0h_3,Female,IFA,draining medial iliac lymph nodes (MLN),0,3,CB6F1,IFA_0_draining medial iliac lymph nodes (MLN)
GSM3407184,IFA_MLN_0h_4,Female,IFA,draining medial iliac lymph nodes (MLN),0,4,CB6F1,IFA_0_draining medial iliac lymph nodes (MLN)
GSM3407185,IFA_MLN_0h_5,Female,IFA,draining medial iliac lymph nodes (MLN),0,5,CB6F1,IFA_0_draining medial iliac lymph nodes (MLN)
GSM3407186,LPS_MLN_0h_1,Female,LPS,draining medial iliac lymph nodes (MLN),0,1,CB6F1,LPS_0_draining medial iliac lymph nodes (MLN)
GSM3407187,LPS_MLN_0h_2,Female,LPS,draining medial iliac lymph nodes (MLN),0,2,CB6F1,LPS_0_draining medial iliac lymph nodes (MLN)
GSM3407188,LPS_MLN_0h_3,Female,LPS,draining medial iliac lymph nodes (MLN),0,3,CB6F1,LPS_0_draining medial iliac lymph nodes (MLN)
GSM3407189,LPS_MLN_0h_4,Female,LPS,draining medial iliac lymph nodes (MLN),0,4,CB6F1,LPS_0_draining medial iliac lymph nodes (MLN)
GSM3407190,LPS_MLN_0h_5,Female,LPS,draining medial iliac lymph nodes (MLN),0,5,CB6F1,LPS_0_draining medial iliac lymph nodes (MLN)
GSM3407191,PERT_MLN_0h_1,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),0,1,CB6F1,Pentavac SD_0_draining medial iliac lymph nodes (MLN)
GSM3407192,PERT_MLN_0h_2,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),0,2,CB6F1,Pentavac SD_0_draining medial iliac lymph nodes (MLN)
GSM3407193,PERT_MLN_0h_3,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),0,3,CB6F1,Pentavac SD_0_draining medial iliac lymph nodes (MLN)
GSM3407194,PERT_MLN_0h_4,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),0,4,CB6F1,Pentavac SD_0_draining medial iliac lymph nodes (MLN)
GSM3407195,PERT_MLN_0h_5,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),0,5,CB6F1,Pentavac SD_0_draining medial iliac lymph nodes (MLN)
GSM3407196,PolyIC_MLN_0h_1,Female,PolyIC,draining medial iliac lymph nodes (MLN),0,1,CB6F1,PolyIC_0_draining medial iliac lymph nodes (MLN)
GSM3407197,PolyIC_MLN_0h_2,Female,PolyIC,draining medial iliac lymph nodes (MLN),0,2,CB6F1,PolyIC_0_draining medial iliac lymph nodes (MLN)
GSM3407198,PolyIC_MLN_0h_3,Female,PolyIC,draining medial iliac lymph nodes (MLN),0,3,CB6F1,PolyIC_0_draining medial iliac lymph nodes (MLN)
GSM3407199,PolyIC_MLN_0h_4,Female,PolyIC,draining medial iliac lymph nodes (MLN),0,4,CB6F1,PolyIC_0_draining medial iliac lymph nodes (MLN)
GSM3407200,PolyIC_MLN_0h_5,Female,PolyIC,draining medial iliac lymph nodes (MLN),0,5,CB6F1,PolyIC_0_draining medial iliac lymph nodes (MLN)
GSM3407201,SAL_MLN_0h_1,Female,saline,draining medial iliac lymph nodes (MLN),0,1,CB6F1,saline_0_draining medial iliac lymph nodes (MLN)
GSM3407202,SAL_MLN_0h_2,Female,saline,draining medial iliac lymph nodes (MLN),0,2,CB6F1,saline_0_draining medial iliac lymph nodes (MLN)
GSM3407203,SAL_MLN_0h_3,Female,saline,draining medial iliac lymph nodes (MLN),0,3,CB6F1,saline_0_draining medial iliac lymph nodes (MLN)
GSM3407204,SAL_MLN_0h_4,Female,saline,draining medial iliac lymph nodes (MLN),0,4,CB6F1,saline_0_draining medial iliac lymph nodes (MLN)
GSM3407205,SAL_MLN_0h_5,Female,saline,draining medial iliac lymph nodes (MLN),0,5,CB6F1,saline_0_draining medial iliac lymph nodes (MLN)
GSM3407206,TriFLU_MLN_0h_1,Female,Agrippal,draining medial iliac lymph nodes (MLN),0,1,CB6F1,Agrippal_0_draining medial iliac lymph nodes (MLN)
GSM3407207,TriFLU_MLN_0h_2,Female,Agrippal,draining medial iliac lymph nodes (MLN),0,2,CB6F1,Agrippal_0_draining medial iliac lymph nodes (MLN)
GSM3407208,TriFLU_MLN_0h_3,Female,Agrippal,draining medial iliac lymph nodes (MLN),0,3,CB6F1,Agrippal_0_draining medial iliac lymph nodes (MLN)
GSM3407209,TriFLU_MLN_0h_4,Female,Agrippal,draining medial iliac lymph nodes (MLN),0,4,CB6F1,Agrippal_0_draining medial iliac lymph nodes (MLN)
GSM3407210,TriFLU_MLN_0h_5,Female,Agrippal,draining medial iliac lymph nodes (MLN),0,5,CB6F1,Agrippal_0_draining medial iliac lymph nodes (MLN)
GSM3407211,TriFLU-MF59_MLN_0h_1,Female,Fluad,draining medial iliac lymph nodes (MLN),0,1,CB6F1,Fluad_0_draining medial iliac lymph nodes (MLN)
GSM3407212,TriFLU-MF59_MLN_0h_2,Female,Fluad,draining medial iliac lymph nodes (MLN),0,2,CB6F1,Fluad_0_draining medial iliac lymph nodes (MLN)
