geo_sample,subject_id,sex,treatment,tissue,timepoint,animal_replicate,strain,condition
GSM3407345,IFA_MU_4h_5,Female,IFA,muscle,4,5,CB6F1,IFA_4_muscle
GSM3407346,LPS_MU_4h_1,Female,LPS,muscle,4,1,CB6F1,LPS_4_muscle
GSM3407347,LPS_MU_4h_2,Female,LPS,muscle,4,2,CB6F1,LPS_4_muscle
GSM3407348,LPS_MU_4h_3,Female,LPS,muscle,4,3,CB6F1,LPS_4_muscle
GSM3407349,LPS_MU_4h_4,Female,LPS,muscle,4,4,CB6F1,LPS_4_muscle
GSM3407350,LPS_MU_4h_5,Female,LPS,muscle,4,5,CB6F1,LPS_4_muscle
GSM3407351,PERT_MU_4h_1,Female,Pentavac SD,muscle,4,1,CB6F1,Pentavac SD_4_muscle
GSM3407352,PERT_MU_4h_2,Female,Pentavac SD,muscle,4,2,CB6F1,Pentavac SD_4_muscle
GSM3407353,PERT_MU_4h_3,Female,Pentavac SD,muscle,4,3,CB6F1,Pentavac SD_4_muscle
GSM3407354,PERT_MU_4h_4,Female,Pentavac SD,muscle,4,4,CB6F1,Pentavac SD_4_muscle
GSM3407355,PERT_MU_4h_5,Female,Pentavac SD,muscle,4,5,CB6F1,Pentavac SD_4_muscle
GSM3407356,PolyIC_MU_4h_1,Female,PolyIC,muscle,4,1,CB6F1,PolyIC_4_muscle
GSM3407357,PolyIC_MU_4h_2,Female,PolyIC,muscle,4,2,CB6F1,PolyIC_4_muscle
GSM3407358,PolyIC_MU_4h_3,Female,PolyIC,muscle,4,3,CB6F1,PolyIC_4_muscle
GSM3407359,PolyIC_MU_4h_4,Female,PolyIC,muscle,4,4,CB6F1,PolyIC_4_muscle
GSM3407360,PolyIC_MU_4h_5,Female,PolyIC,muscle,4,5,CB6F1,PolyIC_4_muscle
GSM3407361,SAL_MU_4h_1,Female,saline,muscle,4,1,CB6F1,saline_4_muscle
GSM3407362,SAL_MU_4h_2,Female,saline,muscle,4,2,CB6F1,saline_4_muscle
GSM3407363,SAL_MU_4h_3,Female,saline,muscle,4,3,CB6F1,saline_4_muscle
GSM3407364,SAL_MU_4h_4,Female,saline,muscle,4,4,CB6F1,saline_4_muscle
GSM3407365,SAL_MU_4h_5,Female,saline,muscle,4,5,CB6F1,saline_4_muscle
GSM3407366,TriFLU_MU_4h_1,Female,Agrippal,muscle,4,1,CB6F1,Agrippal_4_muscle
GSM3407367,TriFLU_MU_4h_2,Female,Agrippal,muscle,4,2,CB6F1,Agrippal_4_muscle
GSM3407368,TriFLU_MU_4h_3,Female,Agrippal,muscle,4,3,CB6F1,Agrippal_4_muscle
GSM3407369,TriFLU_MU_4h_4,Female,Agrippal,muscle,4,4,CB6F1,Agrippal_4_muscle
GSM3407370,TriFLU_MU_4h_5,Female,Agrippal,muscle,4,5,CB6F1,Agrippal_4_muscle
GSM3407371,TriFLU-MF59_MU_4h_1,Female,Fluad,muscle,4,1,CB6F1,Fluad_4_muscle
GSM3407372,TriFLU-MF59_MU_4h_2,Female,Fluad,muscle,4,2,CB6F1,Fluad_4_muscle
GSM3407373,TriFLU-MF59_MU_4h_3,Female,Fluad,muscle,4,3,CB6F1,Fluad_4_muscle
GSM3407374,TriFLU-MF59_MU_4h_4,Female,Fluad,muscle,4,4,CB6F1,Fluad_4_muscle
GSM3407375,TriFLU-MF59_MU_4h_5,Female,Fluad,muscle,4,5,CB6F1,Fluad_4_muscle
GSM3407376,ENG_BL_8h_1,Female,Engerix B,PBMC,8,1,CB6F1,Engerix B_8_PBMC
GSM3407377,ENG_BL_8h_2,Female,Engerix B,PBMC,8,2,CB6F1,Engerix B_8_PBMC
GSM3407378,ENG_BL_8h_3,Female,Engerix B,PBMC,8,3,CB6F1,Engerix B_8_PBMC
GSM3407379,ENG_BL_8h_4,Female,Engerix B,PBMC,8,4,CB6F1,Engerix B_8_PBMC
GSM3407380,ENG_BL_8h_5,Female,Engerix B,PBMC,8,5,CB6F1,Engerix B_8_PBMC
GSM3407381,IFA_BL_8h_1,Female,IFA,PBMC,8,1,CB6F1,IFA_8_PBMC
GSM3407382,IFA_BL_8h_2,Female,IFA,PBMC,8,2,CB6F1,IFA_8_PBMC
GSM3407383,IFA_BL_8h_3,Female,IFA,PBMC,8,3,CB6F1,IFA_8_PBMC
GSM3407384,IFA_BL_8h_4,Female,IFA,PBMC,8,4,CB6F1,IFA_8_PBMC
GSM3407385,IFA_BL_8h_5,Female,IFA,PBMC,8,5,CB6F1,IFA_8_PBMC
GSM3407386,LPS_BL_8h_1,Female,LPS,PBMC,8,1,CB6F1,LPS_8_PBMC
GSM3407387,LPS_BL_8h_2,Female,LPS,PBMC,8,2,CB6F1,LPS_8_PBMC
GSM3407388,LPS_BL_8h_3,Female,LPS,PBMC,8,3,CB6F1,LPS_8_PBMC
GSM3407389,LPS_BL_8h_4,Female,LPS,PBMC,8,4,CB6F1,LPS_8_PBMC
GSM3407390,LPS_BL_8h_5,Female,LPS,PBMC,8,5,CB6F1,LPS_8_PBMC
GSM3407391,PERT_BL_8h_1,Female,Pentavac SD,PBMC,8,1,CB6F1,Pentavac SD_8_PBMC
GSM3407392,PERT_BL_8h_2,Female,Pentavac SD,PBMC,8,2,CB6F1,Pentavac SD_8_PBMC
GSM3407393,PERT_BL_8h_3,Female,Pentavac SD,PBMC,8,3,CB6F1,Pentavac SD_8_PBMC
GSM3407394,PERT_BL_8h_4,Female,Pentavac SD,PBMC,8,4,CB6F1,Pentavac SD_8_PBMC
GSM3407395,PERT_BL_8h_5,Female,Pentavac SD,PBMC,8,5,CB6F1,Pentavac SD_8_PBMC
GSM3407396,PolyIC_BL_8h_1,Female,PolyIC,PBMC,8,1,CB6F1,PolyIC_8_PBMC
GSM3407397,PolyIC_BL_8h_2,Female,PolyIC,PBMC,8,2,CB6F1,PolyIC_8_PBMC
GSM3407398,PolyIC_BL_8h_3,Female,PolyIC,PBMC,8,3,CB6F1,PolyIC_8_PBMC
GSM3407399,PolyIC_BL_8h_4,Female,PolyIC,PBMC,8,4,CB6F1,PolyIC_8_PBMC
GSM3407400,PolyIC_BL_8h_5,Female,PolyIC,PBMC,8,5,CB6F1,PolyIC_8_PBMC
GSM3407401,SAL_BL_8h_1,Female,saline,PBMC,8,1,CB6F1,saline_8_PBMC
GSM3407402,SAL_BL_8h_2,Female,saline,PBMC,8,2,CB6F1,saline_8_PBMC
GSM3407403,SAL_BL_8h_3,Female,saline,PBMC,8,3,CB6F1,saline_8_PBMC
GSM3407404,SAL_BL_8h_4,Female,saline,PBMC,8,4,CB6F1,saline_8_PBMC
GSM3407405,SAL_BL_8h_5,Female,saline,PBMC,8,5,CB6F1,saline_8_PBMC
GSM3407406,TriFLU_BL_8h_1,Female,Agrippal,PBMC,8,1,CB6F1,Agrippal_8_PBMC
GSM3407407,TriFLU_BL_8h_2,Female,Agrippal,PBMC,8,2,CB6F1,Agrippal_8_PBMC
GSM3407408,TriFLU_BL_8h_3,Female,Agrippal,PBMC,8,3,CB6F1,Agrippal_8_PBMC
GSM3407409,TriFLU_BL_8h_4,Female,Agrippal,PBMC,8,4,CB6F1,Agrippal_8_PBMC
GSM3407410,TriFLU_BL_8h_5,Female,Agrippal,PBMC,8,5,CB6F1,Agrippal_8_PBMC
GSM3407411,TriFLU-MF59_BL_8h_1,Female,Fluad,PBMC,8,1,CB6F1,Fluad_8_PBMC
GSM3407412,TriFLU-MF59_BL_8h_2,Female,Fluad,PBMC,8,2,CB6F1,Fluad_8_PBMC
GSM3407413,TriFLU-MF59_BL_8h_3,Female,Fluad,PBMC,8,3,CB6F1,Fluad_8_PBMC
GSM3407414,TriFLU-MF59_BL_8h_4,Female,Fluad,PBMC,8,4,CB6F1,Fluad_8_PBMC
GSM3407415,TriFLU-MF59_BL_8h_5,Female,Fluad,PBMC,8,5,CB6F1,Fluad_8_PBMC
GSM3407416,ENG_MLN_8h_1,Female,Engerix B,draining medial iliac lymph nodes (MLN),8,1,CB6F1,Engerix B_8_draining medial iliac lymph nodes (MLN)
GSM3407417,ENG_MLN_8h_2,Female,Engerix B,draining medial iliac lymph nodes (MLN),8,2,CB6F1,Engerix B_8_draining medial iliac lymph nodes (MLN)
GSM3407418,ENG_MLN_8h_3,Female,Engerix B,draining medial iliac lymph nodes (MLN),8,3,CB6F1,Engerix B_8_draining medial iliac lymph nodes (MLN)
GSM3407419,ENG_MLN_8h_4,Female,Engerix B,draining medial iliac lymph nodes (MLN),8,4,CB6F1,Engerix B_8_draining medial iliac lymph nodes (MLN)
GSM3407420,ENG_MLN_8h_5,Female,Engerix B,draining medial iliac lymph nodes (MLN),8,5,CB6F1,Engerix B_8_draining medial iliac lymph nodes (MLN)
GSM3407421,IFA_MLN_8h_1,Female,IFA,draining medial iliac lymph nodes (MLN),8,1,CB6F1,IFA_8_draining medial iliac lymph nodes (MLN)
GSM3407422,IFA_MLN_8h_2,Female,IFA,draining medial iliac lymph nodes (MLN),8,2,CB6F1,IFA_8_draining medial iliac lymph nodes (MLN)
GSM3407423,IFA_MLN_8h_3,Female,IFA,draining medial iliac lymph nodes (MLN),8,3,CB6F1,IFA_8_draining medial iliac lymph nodes (MLN)
GSM3407424,IFA_MLN_8h_4,Female,IFA,draining medial iliac lymph nodes (MLN),8,4,CB6F1,IFA_8_draining medial iliac lymph nodes (MLN)
GSM3407425,IFA_MLN_8h_5,Female,IFA,draining medial iliac lymph nodes (MLN),8,5,CB6F1,IFA_8_draining medial iliac lymph nodes (MLN)
GSM3407426,LPS_MLN_8h_1,Female,LPS,draining medial iliac lymph nodes (MLN),8,1,CB6F1,LPS_8_draining medial iliac lymph nodes (MLN)
GSM3407427,LPS_MLN_8h_2,Female,LPS,draining medial iliac lymph nodes (MLN),8,2,CB6F1,LPS_8_draining medial iliac lymph nodes (MLN)
GSM3407428,LPS_MLN_8h_3,Female,LPS,draining medial iliac lymph nodes (MLN),8,3,CB6F1,LPS_8_draining medial iliac lymph nodes (MLN)
GSM3407429,LPS_MLN_8h_4,Female,LPS,draining medial iliac lymph nodes (MLN),8,4,CB6F1,LPS_8_draining medial iliac lymph nodes (MLN)
GSM3407430,LPS_MLN_8h_5,Female,LPS,draining medial iliac lymph nodes (MLN),8,5,CB6F1,LPS_8_draining medial iliac lymph nodes (MLN)
GSM3407431,PERT_MLN_8h_1,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),8,1,CB6F1,Pentavac SD_8_draining medial iliac lymph nodes (MLN)
GSM3407432,PERT_MLN_8h_2,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),8,2,CB6F1,Pentavac SD_8_draining medial iliac lymph nodes (MLN)
GSM3407433,PERT_MLN_8h_3,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),8,3,CB6F1,Pentavac SD_8_draining medial iliac lymph nodes (MLN)
GSM3407434,PERT_MLN_8h_4,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),8,4,CB6F1,Pentavac SD_8_draining medial iliac lymph nodes (MLN)
GSM3407435,PERT_MLN_8h_5,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),8,5,CB6F1,Pentavac SD_8_draining medial iliac lymph nodes (MLN)
GSM3407436,PolyIC_MLN_8h_1,Female,PolyIC,draining medial iliac lymph nodes (MLN),8,1,CB6F1,PolyIC_8_draining medial iliac lymph nodes (MLN)
GSM3407437,PolyIC_MLN_8h_2,Female,PolyIC,draining medial iliac lymph nodes (MLN),8,2,CB6F1,PolyIC_8_draining medial iliac lymph nodes (MLN)
GSM3407438,PolyIC_MLN_8h_3,Female,PolyIC,draining medial iliac lymph nodes (MLN),8,3,CB6F1,PolyIC_8_draining medial iliac lymph nodes (MLN)
GSM3407439,PolyIC_MLN_8h_4,Female,PolyIC,draining medial iliac lymph nodes (MLN),8,4,CB6F1,PolyIC_8_draining medial iliac lymph nodes (MLN)
GSM3407440,PolyIC_MLN_8h_5,Female,PolyIC,draining medial iliac lymph nodes (MLN),8,5,CB6F1,PolyIC_8_draining medial iliac lymph nodes (MLN)
GSM3407441,SAL_MLN_8h_1,Female,saline,draining medial iliac lymph nodes (MLN),8,1,CB6F1,saline_8_draining medial iliac lymph nodes (MLN)
GSM3407442,SAL_MLN_8h_2,Female,saline,draining medial iliac lymph nodes (MLN),8,2,CB6F1,saline_8_draining medial iliac lymph nodes (MLN)
GSM3407443,SAL_MLN_8h_3,Female,saline,draining medial iliac lymph nodes (MLN),8,3,CB6F1,saline_8_draining medial iliac lymph nodes (MLN)
GSM3407444,SAL_MLN_8h_4,Female,saline,draining medial iliac lymph nodes (MLN),8,4,CB6F1,saline_8_draining medial iliac lymph nodes (MLN)
GSM3407445,SAL_MLN_8h_5,Female,saline,draining medial iliac lymph nodes (MLN),8,5,CB6F1,saline_8_draining medial iliac lymph nodes (MLN)
GSM3407446,TriFLU_MLN_8h_1,Female,Agrippal,draining medial iliac lymph nodes (MLN),8,1,CB6F1,Agrippal_8_draining medial iliac lymph nodes (MLN)
GSM3407447,TriFLU_MLN_8h_2,Female,Agrippal,draining medial iliac lymph nodes (MLN),8,2,CB6F1,Agrippal_8_draining medial iliac lymph nodes (MLN)
GSM3407448,TriFLU_MLN_8h_3,Female,Agrippal,draining medial iliac lymph nodes (MLN),8,3,CB6F1,Agrippal_8_draining medial iliac lymph nodes (MLN)
GSM3407449,TriFLU_MLN_8h_4,Female,Agrippal,draining medial iliac lymph nodes (MLN),8,4,CB6F1,Agrippal_8_draining medial iliac lymph nodes (MLN)
GSM3407450,TriFLU_MLN_8h_5,Female,Agrippal,draining medial iliac lymph nodes (MLN),8,5,CB6F1,Agrippal_8_draining medial iliac lymph nodes (MLN)
GSM3407451,TriFLU-MF59_MLN_8h_1,Female,Fluad,draining medial iliac lymph nodes (MLN),8,1,CB6F1,Fluad_8_draining medial iliac lymph nodes (MLN)
GSM3407452,TriFLU-MF59_MLN_8h_2,Female,Fluad,draining medial iliac lymph nodes (MLN),8,2,CB6F1,Fluad_8_draining medial iliac lymph nodes (MLN)
GSM3407453,TriFLU-MF59_MLN_8h_3,Female,Fluad,draining medial iliac lymph nodes (MLN),8,3,CB6F1,Fluad_8_draining medial iliac lymph nodes (MLN)
GSM3407454,TriFLU-MF59_MLN_8h_4,Female,Fluad,draining medial iliac lymph nodes (MLN),8,4,CB6F1,Fluad_8_draining medial iliac lymph nodes (MLN)
GSM3407455,TriFLU-MF59_MLN_8h_5,Female,Fluad,draining medial iliac lymph nodes (MLN),8,5,CB6F1,Fluad_8_draining medial iliac lymph nodes (MLN)
GSM3407456,ENG_MU_8h_1,Female,Engerix B,muscle,8,1,CB6F1,Engerix B_8_muscle
GSM3407457,ENG_MU_8h_2,Female,Engerix B,muscle,8,2,CB6F1,Engerix B_8_muscle
GSM3407458,ENG_MU_8h_3,Female,Engerix B,muscle,8,3,CB6F1,Engerix B_8_muscle
GSM3407459,ENG_MU_8h_4,Female,Engerix B,muscle,8,4,CB6F1,Engerix B_8_muscle
GSM3407460,ENG_MU_8h_5,Female,Engerix B,muscle,8,5,CB6F1,Engerix B_8_muscle
GSM3407461,IFA_MU_8h_1,Female,IFA,muscle,8,1,CB6F1,IFA_8_muscle
GSM3407462,IFA_MU_8h_2,Female,IFA,muscle,8,2,CB6F1,IFA_8_muscle
GSM3407463,IFA_MU_8h_3,Female,IFA,muscle,8,3,CB6F1,IFA_8_muscle
GSM3407464,IFA_MU_8h_4,Female,IFA,muscle,8,4,CB6F1,IFA_8_muscle
GSM3407465,IFA_MU_8h_5,Female,IFA,muscle,8,5,CB6F1,IFA_8_muscle
GSM3407466,LPS_MU_8h_1,Female,LPS,muscle,8,1,CB6F1,LPS_8_muscle
GSM3407467,LPS_MU_8h_2,Female,LPS,muscle,8,2,CB6F1,LPS_8_muscle
GSM3407468,LPS_MU_8h_3,Female,LPS,muscle,8,3,CB6F1,LPS_8_muscle
GSM3407469,LPS_MU_8h_4,Female,LPS,muscle,8,4,CB6F1,LPS_8_muscle
GSM3407470,LPS_MU_8h_5,Female,LPS,muscle,8,5,CB6F1,LPS_8_muscle
GSM3407471,PERT_MU_8h_1,Female,Pentavac SD,muscle,8,1,CB6F1,Pentavac SD_8_muscle
GSM3407472,PERT_MU_8h_2,Female,Pentavac SD,muscle,8,2,CB6F1,Pentavac SD_8_muscle
GSM3407473,PERT_MU_8h_3,Female,Pentavac SD,muscle,8,3,CB6F1,Pentavac SD_8_muscle
GSM3407474,PERT_MU_8h_4,Female,Pentavac SD,muscle,8,4,CB6F1,Pentavac SD_8_muscle
GSM3407475,PERT_MU_8h_5,Female,Pentavac SD,muscle,8,5,CB6F1,Pentavac SD_8_muscle
GSM3407476,PolyIC_MU_8h_1,Female,PolyIC,muscle,8,1,CB6F1,PolyIC_8_muscle
GSM3407477,PolyIC_MU_8h_2,Female,PolyIC,muscle,8,2,CB6F1,PolyIC_8_muscle
GSM3407478,PolyIC_MU_8h_3,Female,PolyIC,muscle,8,3,CB6F1,PolyIC_8_muscle
GSM3407479,PolyIC_MU_8h_4,Female,PolyIC,muscle,8,4,CB6F1,PolyIC_8_muscle
GSM3407480,PolyIC_MU_8h_5,Female,PolyIC,muscle,8,5,CB6F1,PolyIC_8_muscle
GSM3407481,SAL_MU_8h_1,Female,saline,muscle,8,1,CB6F1,saline_8_muscle
GSM3407482,SAL_MU_8h_2,Female,saline,muscle,8,2,CB6F1,saline_8_muscle
GSM3407483,SAL_MU_8h_3,Female,saline,muscle,8,3,CB6F1,saline_8_muscle
GSM3407484,SAL_MU_8h_4,Female,saline,muscle,8,4,CB6F1,saline_8_muscle
GSM3407485,SAL_MU_8h_5,Female,saline,muscle,8,5,CB6F1,saline_8_muscle
GSM3407486,TriFLU_MU_8h_1,Female,Agrippal,muscle,8,1,CB6F1,Agrippal_8_muscle
GSM3407487,TriFLU_MU_8h_2,Female,Agrippal,muscle,8,2,CB6F1,Agrippal_8_muscle
GSM3407488,TriFLU_MU_8h_3,Female,Agrippal,muscle,8,3,CB6F1,Agrippal_8_muscle
GSM3407489,TriFLU_MU_8h_4,Female,Agrippal,muscle,8,4,CB6F1,Agrippal_8_muscle
GSM3407490,TriFLU_MU_8h_5,Female,Agrippal,muscle,8,5,CB6F1,Agrippal_8_muscle
GSM3407491,TriFLU-MF59_MU_8h_1,Female,Fluad,muscle,8,1,CB6F1,Fluad_8_muscle
GSM3407492,TriFLU-MF59_MU_8h_2,Female,Fluad,muscle,8,2,CB6F1,Fluad_8_muscle
GSM3407493,TriFLU-MF59_MU_8h_3,Female,Fluad,muscle,8,3,CB6F1,Fluad_8_muscle
GSM3407494,TriFLU-MF59_MU_8h_4,Female,Fluad,muscle,8,4,CB6F1,Fluad_8_muscle
GSM3407495,TriFLU-MF59_MU_8h_5,Female,Fluad,muscle,8,5,CB6F1,Fluad_8_muscle
GSM3407496,ENG_BL_24h_1,Female,Engerix B,PBMC,24,1,CB6F1,Engerix B_24_PBMC
GSM3407497,ENG_BL_24h_2,Female,Engerix B,PBMC,24,2,CB6F1,Engerix B_24_PBMC
GSM3407498,ENG_BL_24h_3,Female,Engerix B,PBMC,24,3,CB6F1,Engerix B_24_PBMC
GSM3407499,ENG_BL_24h_4,Female,Engerix B,PBMC,24,4,CB6F1,Engerix B_24_PBMC
GSM3407500,ENG_BL_24h_5,Female,Engerix B,PBMC,24,5,CB6F1,Engerix B_24_PBMC
GSM3407501,IFA_BL_24h_1,Female,IFA,PBMC,24,1,CB6F1,IFA_24_PBMC
GSM3407502,IFA_BL_24h_2,Female,IFA,PBMC,24,2,CB6F1,IFA_24_PBMC
GSM3407503,IFA_BL_24h_3,Female,IFA,PBMC,24,3,CB6F1,IFA_24_PBMC
GSM3407504,IFA_BL_24h_4,Female,IFA,PBMC,24,4,CB6F1,IFA_24_PBMC
GSM3407505,IFA_BL_24h_5,Female,IFA,PBMC,24,5,CB6F1,IFA_24_PBMC
GSM3407506,LPS_BL_24h_1,Female,LPS,PBMC,24,1,CB6F1,LPS_24_PBMC
GSM3407507,LPS_BL_24h_2,Female,LPS,PBMC,24,2,CB6F1,LPS_24_PBMC
GSM3407508,LPS_BL_24h_3,Female,LPS,PBMC,24,3,CB6F1,LPS_24_PBMC
GSM3407509,LPS_BL_24h_4,Female,LPS,PBMC,24,4,CB6F1,LPS_24_PBMC
GSM3407510,LPS_BL_24h_5,Female,LPS,PBMC,24,5,CB6F1,LPS_24_PBMC
GSM3407511,PERT_BL_24h_1,Female,Pentavac SD,PBMC,24,1,CB6F1,Pentavac SD_24_PBMC
GSM3407512,PERT_BL_24h_2,Female,Pentavac SD,PBMC,24,2,CB6F1,Pentavac SD_24_PBMC
GSM3407513,PERT_BL_24h_3,Female,Pentavac SD,PBMC,24,3,CB6F1,Pentavac SD_24_PBMC
GSM3407514,PERT_BL_24h_4,Female,Pentavac SD,PBMC,24,4,CB6F1,Pentavac SD_24_PBMC
GSM3407515,PERT_BL_24h_5,Female,Pentavac SD,PBMC,24,5,CB6F1,Pentavac SD_24_PBMC
GSM3407516,PolyIC_BL_24h_1,Female,PolyIC,PBMC,24,1,CB6F1,PolyIC_24_PBMC
GSM3407517,PolyIC_BL_24h_2,Female,PolyIC,PBMC,24,2,CB6F1,PolyIC_24_PBMC
GSM3407518,PolyIC_BL_24h_3,Female,PolyIC,PBMC,24,3,CB6F1,PolyIC_24_PBMC
GSM3407519,PolyIC_BL_24h_4,Female,PolyIC,PBMC,24,4,CB6F1,PolyIC_24_PBMC
GSM3407520,PolyIC_BL_24h_5,Female,PolyIC,PBMC,24,5,CB6F1,PolyIC_24_PBMC
GSM3407521,SAL_BL_24h_1,Female,saline,PBMC,24,1,CB6F1,saline_24_PBMC
GSM3407522,SAL_BL_24h_2,Female,saline,PBMC,24,2,CB6F1,saline_24_PBMC
GSM3407523,SAL_BL_24h_3,Female,saline,PBMC,24,3,CB6F1,saline_24_PBMC
GSM3407524,SAL_BL_24h_4,Female,saline,PBMC,24,4,CB6F1,saline_24_PBMC
GSM3407525,SAL_BL_24h_5,Female,saline,PBMC,24,5,CB6F1,saline_24_PBMC
GSM3407526,TriFLU_BL_24h_1,Female,Agrippal,PBMC,24,1,CB6F1,Agrippal_24_PBMC
GSM3407527,TriFLU_BL_24h_2,Female,Agrippal,PBMC,24,2,CB6F1,Agrippal_24_PBMC
GSM3407528,TriFLU_BL_24h_3,Female,Agrippal,PBMC,24,3,CB6F1,Agrippal_24_PBMC
GSM3407529,TriFLU_BL_24h_4,Female,Agrippal,PBMC,24,4,CB6F1,Agrippal_24_PBMC
GSM3407530,TriFLU_BL_24h_5,Female,Agrippal,PBMC,24,5,CB6F1,Agrippal_24_PBMC
GSM3407531,TriFLU-MF59_BL_24h_1,Female,Fluad,PBMC,24,1,CB6F1,Fluad_24_PBMC
GSM3407532,TriFLU-MF59_BL_24h_2,Female,Fluad,PBMC,24,2,CB6F1,Fluad_24_PBMC
GSM3407533,TriFLU-MF59_BL_24h_3,Female,Fluad,PBMC,24,3,CB6F1,Fluad_24_PBMC
GSM3407534,TriFLU-MF59_BL_24h_4,Female,Fluad,PBMC,24,4,CB6F1,Fluad_24_PBMC
GSM3407535,TriFLU-MF59_BL_24h_5,Female,Fluad,PBMC,24,5,CB6F1,Fluad_24_PBMC
GSM3407536,ENG_MLN_24h_1,Female,Engerix B,draining medial iliac lymph nodes (MLN),24,1,CB6F1,Engerix B_24_draining medial iliac lymph nodes (MLN)
GSM3407537,ENG_MLN_24h_2,Female,Engerix B,draining medial iliac lymph nodes (MLN),24,2,CB6F1,Engerix B_24_draining medial iliac lymph nodes (MLN)
GSM3407538,ENG_MLN_24h_3,Female,Engerix B,draining medial iliac lymph nodes (MLN),24,3,CB6F1,Engerix B_24_draining medial iliac lymph nodes (MLN)
GSM3407539,ENG_MLN_24h_4,Female,Engerix B,draining medial iliac lymph nodes (MLN),24,4,CB6F1,Engerix B_24_draining medial iliac lymph nodes (MLN)
GSM3407540,ENG_MLN_24h_5,Female,Engerix B,draining medial iliac lymph nodes (MLN),24,5,CB6F1,Engerix B_24_draining medial iliac lymph nodes (MLN)
GSM3407541,IFA_MLN_24h_1,Female,IFA,draining medial iliac lymph nodes (MLN),24,1,CB6F1,IFA_24_draining medial iliac lymph nodes (MLN)
GSM3407542,IFA_MLN_24h_2,Female,IFA,draining medial iliac lymph nodes (MLN),24,2,CB6F1,IFA_24_draining medial iliac lymph nodes (MLN)
GSM3407543,IFA_MLN_24h_3,Female,IFA,draining medial iliac lymph nodes (MLN),24,3,CB6F1,IFA_24_draining medial iliac lymph nodes (MLN)
GSM3407544,IFA_MLN_24h_4,Female,IFA,draining medial iliac lymph nodes (MLN),24,4,CB6F1,IFA_24_draining medial iliac lymph nodes (MLN)
GSM3407545,IFA_MLN_24h_5,Female,IFA,draining medial iliac lymph nodes (MLN),24,5,CB6F1,IFA_24_draining medial iliac lymph nodes (MLN)
GSM3407546,LPS_MLN_24h_1,Female,LPS,draining medial iliac lymph nodes (MLN),24,1,CB6F1,LPS_24_draining medial iliac lymph nodes (MLN)
GSM3407547,LPS_MLN_24h_2,Female,LPS,draining medial iliac lymph nodes (MLN),24,2,CB6F1,LPS_24_draining medial iliac lymph nodes (MLN)
GSM3407548,LPS_MLN_24h_3,Female,LPS,draining medial iliac lymph nodes (MLN),24,3,CB6F1,LPS_24_draining medial iliac lymph nodes (MLN)
GSM3407549,LPS_MLN_24h_4,Female,LPS,draining medial iliac lymph nodes (MLN),24,4,CB6F1,LPS_24_draining medial iliac lymph nodes (MLN)
GSM3407550,LPS_MLN_24h_5,Female,LPS,draining medial iliac lymph nodes (MLN),24,5,CB6F1,LPS_24_draining medial iliac lymph nodes (MLN)
GSM3407551,PERT_MLN_24h_1,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),24,1,CB6F1,Pentavac SD_24_draining medial iliac lymph nodes (MLN)
GSM3407552,PERT_MLN_24h_2,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),24,2,CB6F1,Pentavac SD_24_draining medial iliac lymph nodes (MLN)
GSM3407553,PERT_MLN_24h_3,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),24,3,CB6F1,Pentavac SD_24_draining medial iliac lymph nodes (MLN)
GSM3407554,PERT_MLN_24h_4,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),24,4,CB6F1,Pentavac SD_24_draining medial iliac lymph nodes (MLN)
GSM3407555,PERT_MLN_24h_5,Female,Pentavac SD,draining medial iliac lymph nodes (MLN),24,5,CB6F1,Pentavac SD_24_draining medial iliac lymph nodes (MLN)
GSM3407556,PolyIC_MLN_24h_1,Female,PolyIC,draining medial iliac lymph nodes (MLN),24,1,CB6F1,PolyIC_24_draining medial iliac lymph nodes (MLN)
GSM3407557,PolyIC_MLN_24h_2,Female,PolyIC,draining medial iliac lymph nodes (MLN),24,2,CB6F1,PolyIC_24_draining medial iliac lymph nodes (MLN)
GSM3407558,PolyIC_MLN_24h_3,Female,PolyIC,draining medial iliac lymph nodes (MLN),24,3,CB6F1,PolyIC_24_draining medial iliac lymph nodes (MLN)
GSM3407559,PolyIC_MLN_24h_4,Female,PolyIC,draining medial iliac lymph nodes (MLN),24,4,CB6F1,PolyIC_24_draining medial iliac lymph nodes (MLN)
GSM3407560,PolyIC_MLN_24h_5,Female,PolyIC,draining medial iliac lymph nodes (MLN),24,5,CB6F1,PolyIC_24_draining medial iliac lymph nodes (MLN)
GSM3407561,SAL_MLN_24h_1,Female,saline,draining medial iliac lymph nodes (MLN),24,1,CB6F1,saline_24_draining medial iliac lymph nodes (MLN)
GSM3407562,SAL_MLN_24h_2,Female,saline,draining medial iliac lymph nodes (MLN),24,2,CB6F1,saline_24_draining medial iliac lymph nodes (MLN)
