geo_sample,participant_id,timepoint,sex,strain,tissue,organism,treatment,platform_id
GSM178662,rep 3,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178663,rep 4,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178664,rep 1,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178665,rep 2,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178666,rep 3,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178667,rep 4,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178668,rep 1,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178669,rep 2,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178670,rep 3,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178671,rep 4,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM1099741,rep 1,1 Day,male,C57BL/6J,leukocytes,Mus musculus,LPS_Control,GPL1261
GSM1099742,rep 2,1 Day,male,C57BL/6J,leukocytes,Mus musculus,LPS_Control,GPL1261
GSM1099743,rep 3,1 Day,male,C57BL/6J,leukocytes,Mus musculus,LPS_Control,GPL1261
GSM1099744,rep 4,1 Day,male,C57BL/6J,leukocytes,Mus musculus,LPS_Control,GPL1261
GSM1099745,rep 1,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,LPS_Control,GPL1261
GSM1099746,rep 2,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,LPS_Control,GPL1261
GSM1099747,rep 3,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,LPS_Control,GPL1261
GSM1099748,rep 4,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,LPS_Control,GPL1261
GSM1099749,rep 1,1 Day,male,C57BL/6J,leukocytes,Mus musculus,LPS,GPL1261
GSM1099750,rep 2,1 Day,male,C57BL/6J,leukocytes,Mus musculus,LPS,GPL1261
GSM1099751,rep 3,1 Day,male,C57BL/6J,leukocytes,Mus musculus,LPS,GPL1261
GSM1099752,rep 4,1 Day,male,C57BL/6J,leukocytes,Mus musculus,LPS,GPL1261
GSM1099753,rep 1,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,LPS,GPL1261
GSM1099754,rep 2,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,LPS,GPL1261
GSM1099755,rep 3,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,LPS,GPL1261
GSM1099756,rep 4,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,LPS,GPL1261
