Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL10262,"Renji Hospital ABI Human TaqMan® MicroRNA Assays V2.0","spotted oligonucleotide","Homo sapiens",768,29,3,"Nan Shen","Mar 20, 2013"
GPL10274,"Affymetrix GeneChip Human Genome U133 Plus 2.0 Array (Brainarray CustomCDF, HGU133Plus2_Hs_UG_Version 12.cdf)","in situ oligonucleotide","Homo sapiens",22179,24,1,"Li Li","Mar 20, 2013"
GPL16850,"Applied Biosystems TaqMan Array Human MicroRNA A+B Cards Set v3.0","RT-PCR","Homo sapiens",768,37,3,"Yujuan Dong","Mar 20, 2013"
GPL16818,"SABiosciences Human Cell Cycle PCR assay panel [PAHS-020Z]","RT-PCR","Homo sapiens",96,2,1,"Ilya Ulasov","Mar 19, 2013"
GPL16795,"Agilent-024616 ISCA human array 4X180K v2 (Feature Number version)","in situ oligonucleotide","Homo sapiens",180880,1,1,"Ganesh Boora","Mar 16, 2013"
GPL16791,"Illumina HiSeq 2500 (Homo sapiens)","high-throughput sequencing","Homo sapiens",0,364283,12841,"GEO","Mar 14, 2013"
GPL16786,"[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [HuGene10stv1_Hs_ENSG version 13.0.0]","in situ oligonucleotide","Homo sapiens",23021,26,2,"GEO admin","Mar 13, 2013"
GPL16765,"Human 70-mer oligonucleotide microarray","spotted oligonucleotide","Homo sapiens",37632,11,5,"Ji Ma","Mar 12, 2013"
GPL16770,"Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version)","in situ oligonucleotide","Homo sapiens",1368,2209,67,"Agilent Technologies","Mar 12, 2013"
GPL16772,"Oligo GEArray for Human Endothelial Biology","spotted DNA/cDNA","Homo sapiens",114,4,2,"Hidekata Yasuoka","Mar 12, 2013"
GPL16773,"Oligo GEArray for Human Chemokine & Receptors","spotted DNA/cDNA","Homo sapiens",113,4,2,"Hidekata Yasuoka","Mar 12, 2013"
GPL16778,"Human MDR resistance in cancer qRT-PCR array","RT-PCR","Homo sapiens",384,3,1,"Robert Robey","Mar 12, 2013"
GPL16766,"Miltenyi PIQOR(TM) Human antisense Ubiquitin-PS Microarray","spotted DNA/cDNA","Homo sapiens",1284,6,1,"Kerstin Brinkmann","Mar 09, 2013"
GPL15395,"[HT_HG-U133A] Affymetrix HT Human Genome U133A Array [custom CDF: ENTREZ brainarray v. 14]","in situ oligonucleotide","Homo sapiens",12139,57,1,"Dario Greco","Mar 04, 2013"
GPL15396,"[HT_HG-U133B] Affymetrix HT Human Genome U133B Array [custom CDF: ENTREZ brainarray v. 14]","in situ oligonucleotide","Homo sapiens",7906,57,1,"Dario Greco","Mar 04, 2013"
GPL16304,"Illumina HumanMethylation450 BeadChip [UBC enhanced annotation v1.0]","oligonucleotide beads","Homo sapiens",485512,4653,50,"Magda Price","Mar 04, 2013"
GPL15615,"SMD Print_1430 hr1","spotted DNA/cDNA","Homo sapiens",45696,113,1,"Stephen Popper","Mar 01, 2013"
GPL16299,"NanoString nCounter mRNA Human Cancer Reference Kit","other","Homo sapiens",250,254,2,"Luciano Cascione","Mar 01, 2013"
GPL16556,"Custom Human ABC transporter gene RT-PCR assays","RT-PCR","Homo sapiens",49,111,1,"Pavel Soucek","Mar 01, 2013"
GPL16730,"Agilent-039659 hs_miR_18_addvirus 038169","in situ oligonucleotide","Homo sapiens",62976,28,6,"Huibo Wang","Mar 01, 2013"
GPL15331,"Agilent-026817 University_Surrey_HumanSleep_44k_v1","in situ oligonucleotide","Homo sapiens",45220,830,5,"Emma Laing","Feb 27, 2013"
GPL16690,"Yale Lu Human/Mouse microRNA v2.0","spotted oligonucleotide","Homo sapiens;Mus musculus;human gammaherpesvirus 4",636,293,2,"Stephen Mastriano","Feb 26, 2013"
GPL16689,"LC Sciences Human Frog Zebrafish miRNA 1.4K (G4.2miRHumanFrogZebrafish_15)","in situ oligonucleotide","Danio rerio;Homo sapiens;Pipidae",1427,3,1,"Christoph Eicken","Feb 21, 2013"
GPL16707,"NimbleGen Human Whole Genome CGH array [100718_HG18_WG_CGH_v3.1_HX12]","in situ oligonucleotide","Homo sapiens",134937,661,6,"NimbleGen Systems, Inc.","Feb 21, 2013"
GPL13165,"Medsaic Human DotScan antibody microarray v3","spotted peptide or protein","Homo sapiens",57,134,1,"Joshua WK Ho","Feb 20, 2013"
GPL16699,"Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version)","in situ oligonucleotide","Homo sapiens",62976,5281,319,"Agilent Technologies","Feb 20, 2013"
GPL16694,"Agilent-022522 SurePrint G3 CGH array 4X180K (Probe Name version)","in situ oligonucleotide","Homo sapiens",177071,330,9,"Agilent Technologies","Feb 19, 2013"
GPL16494,"Agilent-028516 Custom human mapping supercoiling array (CN1)","in situ oligonucleotide","Homo sapiens",173214,28,2,"Nick Gilbert","Feb 17, 2013"
GPL16498,"Nimblegen_Human_720K_Chr11extra","in situ oligonucleotide","Homo sapiens",718882,10,2,"Nick Gilbert","Feb 17, 2013"
