model,roc_auc,pr_auc,feature_set,framing,target,task
Logistic Regression,0.5112336587837807,0.7299373489903531,Direction only,transfer,sign_concordant,classification
Random Forest,0.5112336587837807,0.7299373489903531,Direction only,transfer,sign_concordant,classification
Neural Network,0.5112336587837807,0.7299373489903531,Direction only,transfer,sign_concordant,classification
Logistic Regression,0.5287830139408753,0.6880853406300006,Direction + layers,transfer,sign_concordant,classification
Lasso,0.5169103892125636,0.6753796919939931,Direction + layers,transfer,sign_concordant,classification
Random Forest,0.8488024770905204,0.9282475907288653,Direction + layers,transfer,sign_concordant,classification
Neural Network,0.6192412087065915,0.7759891926603326,Direction + layers,transfer,sign_concordant,classification
