MM.Entrez,row,EffectSize,condition
11421,11421,0.037037732965277126,Fluad_72_PBMC
11421,11421,0.021515129152818613,Fluad_168_PBMC
11423,11423,0.10523960584534775,Fluad_4_PBMC
11423,11423,0.0316684557350122,Fluad_8_PBMC
11423,11423,0.07678663844563616,Fluad_24_PBMC
11423,11423,0.24106813212149314,Fluad_48_PBMC
11423,11423,0.07598592206559518,Fluad_72_PBMC
11423,11423,0.2343002697722576,Fluad_168_PBMC
11425,11425,-0.26249623497858243,Fluad_4_PBMC
11425,11425,-0.26249623497858243,Fluad_4_PBMC
11425,11425,-0.13665888026444772,Fluad_8_PBMC
11425,11425,-0.13665888026444772,Fluad_8_PBMC
11425,11425,-0.09340045628320981,Fluad_24_PBMC
11425,11425,-0.09340045628320981,Fluad_24_PBMC
11425,11425,-0.02693362706509328,Fluad_48_PBMC
11425,11425,-0.02693362706509328,Fluad_48_PBMC
11425,11425,-0.06109829137178502,Fluad_72_PBMC
11425,11425,-0.06109829137178502,Fluad_72_PBMC
11425,11425,0.08386252247866155,Fluad_168_PBMC
11425,11425,0.08386252247866155,Fluad_168_PBMC
11428,11428,0.055101423455780285,Fluad_4_PBMC
11428,11428,0.14673430347490335,Fluad_8_PBMC
11428,11428,0.026121732843696677,Fluad_24_PBMC
11428,11428,0.040766439595951276,Fluad_48_PBMC
11428,11428,0.10570516829446497,Fluad_72_PBMC
11428,11428,-0.052712849834672504,Fluad_168_PBMC
11429,11429,0.02819321436703115,Fluad_4_PBMC
11429,11429,-0.0029109059451895014,Fluad_8_PBMC
11429,11429,0.006113248722110942,Fluad_24_PBMC
11429,11429,0.011196466003014827,Fluad_48_PBMC
11429,11429,-0.007194428599361036,Fluad_72_PBMC
11429,11429,-0.014098400418154355,Fluad_168_PBMC
11430,11430,0.015084841310002428,Fluad_4_PBMC
11430,11430,-0.02018606342576179,Fluad_8_PBMC
11430,11430,-0.0328429530574148,Fluad_24_PBMC
11430,11430,-0.011341095922007938,Fluad_48_PBMC
11430,11430,-0.025202200509942152,Fluad_72_PBMC
