MM.Entrez,EffectSize
11298,-0.03835394199999946
11302,-1.2186459996
11303,-0.2970419434
11304,0.07160072579999985
11305,-0.20777321000000004
11306,-0.33780440180000043
11307,-0.08116539140000043
11308,-0.6635349225999999
11350,-0.5003786028
11352,-0.3617740979999999
11363,-0.08279435359999994
11364,-0.0754269918000002
11370,0.0848690119999997
11409,0.5804760726
11416,0.5346268746000001
11419,-0.015614525199999996
11421,-0.0355793236000002
11423,0.18805945599999987
11425,0.029606205599999935
11428,-1.2941114100000004
11429,-0.2112783325999999
11430,-0.2349898416000002
11431,-0.61092236
11432,-0.6701897992000002
11433,0.26573092399999965
11434,0.38298999180000004
11435,0.35773957119999994
11438,0.39410068399999965
11440,-0.09805547059999978
11441,-0.30249590839999996
11443,-0.6181708808000002
11444,-0.6355134670000002
11447,0.04897287299999968
11448,0.5269655795999999
11449,-0.6752996438000002
11450,-0.1599765667999998
11461,-0.01604400600000062
11464,-1.0994110006000002
11468,0.7207930857999998
11470,0.3926869697999999
11471,0.36368997440000017
11472,-0.07376115800000012
11475,0.28370062499999965
11477,-0.30861253540000017
11479,-0.16978050699999994
11480,0.5850687376
11481,-1.0031347582
11482,0.4321761912000005
11484,0.34751523120000005
11486,0.6925961278000001
11487,-0.2771402560000006
11488,0.20945924740000094
11489,0.10111138559999996
11490,0.13820786
11491,0.6982787937999999
11492,0.02815000800000007
11495,-0.45768427659999994
11496,-0.19648767079999985
11500,1.1987173749999998
11501,-0.8395796476000001
11502,-0.28790696079999983
11504,0.22244139280000005
11513,-0.595625978
11514,-1.1599839798
11515,-0.40005787700000006
11516,0.5047934890000001
11517,0.4216442524
11518,-0.28838121
11519,-0.6093364566
11520,-0.06574148679999965
11522,0.4425275131999998
11529,0.2678155512
11532,-0.40890937260000015
11534,-0.5316784470000002
11535,0.7300036552
11536,-0.7172243114000001
11537,0.6656110729999999
11538,-0.3976048496000001
11539,-0.24637373980000002
11540,0.2537181923999999
11541,0.4234762838
11542,0.027286081399999596
11545,-0.18211218319999994
11546,-0.6488351676000003
11548,-0.3205568680000003
11549,-0.6775191114
11550,0.0012902384000001098
11551,-0.22852185100000016
11552,-0.39807157740000026
11553,-0.7339437766000001
11554,0.004505541199999996
11555,0.015562575000000045
11556,-0.9730254642000002
11564,0.11046251659999999
11567,-0.1882488222
11568,-0.42711613899999995
11569,0.0029919976000000402
11571,0.1906561291999999
11576,0.5072480350000002
11593,0.4029316066
11596,-0.46697630520000005
11600,-0.4891176196
11601,0.49011020139999995
11602,0.26200314439999994
11603,-0.18806570560000005
11604,0.21808189399999983
11605,-0.601227204
11607,0.3681341904
11609,0.7521300792
11610,0.01643998379999978
11614,0.07263237260000022
11615,0.3165476823999998
11622,-0.17500889880000017
11624,0.42630589840000005
11625,0.37315595879999924
11628,-0.08537922400000006
11629,1.16210453
11632,0.1239063999999999
11634,0.012333196199999641
11636,0.19504616900000044
11637,0.10005956799999964
11639,-0.8723553508
11640,-0.2610579112
11642,0.21538495799999993
11643,0.08032564480000008
11648,-0.1348041812000001
11650,-0.5434875638000001
11651,0.22087423200000025
11652,-0.23937002599999993
11655,0.1778454293999996
11656,-0.17825812200000116
11657,-0.0679096404000001
11658,0.3541033913999998
11666,-0.07170843600000013
11668,-0.5811797000000002
11669,-0.4670386860000001
11670,-0.058604963999999884
11671,-0.07738841280000024
11674,-0.03832726199999996
11676,0.2605472043999999
11682,-0.7066417644000003
11684,-0.30334184999999964
11686,-0.4181490301999998
